Texto,Label,Tipo,Veredito original,Fonte,URL,Data,Arquivo bruto
Bolsonaro pede divórcio após suposto envolvimento de Michelle Bolsonaro com o banqueiro Daniel Vorcaro,Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/22/falso-divorcio-jair-michelle-bolsonaro-daniel-vorcaro.ghtm,2026-05-22 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Silas Malafaia detona e mostra que já soltou a mão de Flávio Bolsonaro,Fake,claim,Distorcido,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/21/enganoso-video-silas-malafaia-critica-flavio-bolsonaro-filme.amp.htm,2026-05-21 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Intercept pediu desculpas e disse não ter provas para reportagem sobre cinebiografia de Jair Bolsonaro,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-intercept-tenha-pedido-desculpas-por-reportagem-sobre-cinebiografia-de-bolsonaro/,2026-05-21 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"""AQUI É BOLSONARO!"" Foi com essa frase, aos gritos de uma multidão em Copacabana, que Shakira teria protagonizado um dos momentos mais explosivos da história dos shows no Brasil. Enquanto a plateia ia ao delírio, bastidores ferviam com tentativas de interrupção e revolta de setores da mídia.",Fake,claim,Errado,Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-bolsonaro-em-concerto-em-copacabana/,2026-05-20 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Tema musical do filme sobre Jair Bolsonaro, está sendo uma das mais tocadas nos Estados Unidos",Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/20/falso-musica-tema-filme-bolsonaro-mais-tocadas-eua.ghtm,2026-05-20 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Nunes Marques tornou Bolsonaro elegível novamente,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,2026-05-19 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
The Intercept Brasil pediu desculpas e disse não ter provas que liguem família Bolsonaro ao caso Master,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/intercept-provas-vorcaro-filme-bolsonaro/,2026-05-18 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vídeo mostra Bolsonaro ‘embolsando’ objeto dourado,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-roubando-moeda-ouro/,2026-05-15 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Intercept admite não ter provas do pagamento do valor para o filme de Bolsonaro,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/15/falso-intercept-admitiu-nao-provas-flavio-bolsonaro-vorcaro.ghtm,2026-05-15 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Zico critica Bolsonaro em entrevista,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2VD69K,2026-05-14 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"A Anvisa mandou recolher produtos da marca Ypê com base em acusações sem provas e por motivação política, já que diretores da empresa doaram R$ 1 milhão para a campanha de Jair Bolsonaro em 2022.",Fake,claim,Enganoso,Estadão,https://www.estadao.com.br/estadao-verifica/videos-enganam-motivacao-politica-inspecao-anvisa-fabrica-ype/,2026-05-12 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Bolsonaro deixa hospital com gritos de 'Força Bolsonaro' e 'mito',Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2HX2NQ,2026-05-11 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Lula foge do palácio aos gritos de volta Bolsonaro,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/07/lula-nao-saiu-do-palco-apos-gritos-pro-bolsonaro-audio-e-manipulado.ghtm,2026-05-07 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Shakira delcarou apoio a Flávio e a Jair Bolsonaro durante show em Copacabana,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B22G4WE,,data/raw\factcheck_Bolsonaro_0.csv
Jair Renan filho de Bolsonaro é alvo de operação policial em 2026,Fake,claim,Enganoso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9ZT363,2026-05-06 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
"Shakira declarou apoio a Bolsonaro durante show em Copacabana, no Rio",Fake,claim,Falso,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/05/shakira-nao-deu-declaracao-de-apoio-a-bolsonaro-video-e-ia.ghtm,2026-05-05 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Shakira declarou apoio a Jair Bolsonaro durante show em Copacabana,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/shakira-lula-bolsonaro-show-brasil/,2026-05-04 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Polícia Federal confirma: Bolsonaro nunca usou cartão corporativo da Presidência,Fake,claim,Falso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/03/pf-nao-disse-que-bolsonaro-nao-usou-cartao-corporativo-durante-mandato.ghtm,2026-05-03 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Malafaia detona Flávio Bolsonaro e filme Dark Horse após divulgação de áudios com Vorcaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3ZB4CQ,2026-05-25 22:01:01,data/raw\factcheck_Bolsonaro_0.csv
Vaza conversas íntimas de Michelle Bolsonaro e Daniel Vorcaro,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/michelle-bolsonaro-affair-vorcaro-ataque-genero/,2026-05-25 14:23:00,data/raw\factcheck_Bolsonaro_0.csv
Daniel Vorcaro delatou à Polícia Federal participação de Lulinha e de Moraes em atentado a Bolsonaro,Fake,claim,Falso,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9HU89E,2026-04-30 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Vorcaro revelou participação de Lulinha e Moraes em atentado a faca contra Bolsonaro,Fake,claim,Falso,Estadão,https://www.estadao.com.br/estadao-verifica/falso-daniel-vorcaro-revelacoes-sobre-adelio-bispo/,2026-04-30 07:00:00,data/raw\factcheck_Bolsonaro_0.csv
Flávio Bolsonaro vai acabar com o Bolsa Família e retornar com o Auxílio Brasil de R$ 1.200,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-bolsa-familia/,2026-05-22 16:30:00,data/raw\factcheck_Bolsonaro_0.csv
Silas Malafaia ‘detona’ Flávio Bolsonaro e cinebiografia de ex-presidente em vídeo,Fake,claim,falso,Aos Fatos,https://www.aosfatos.org/noticias/malafaia-flavio-bolsonaro-dark-horse/,2026-05-22 15:56:00,data/raw\factcheck_Bolsonaro_0.csv
