Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Conclusão das investigações contra Bolsonaro não são divulgados pela imprensa; casos são factóides,Estadão,https://www.estadao.com.br/estadao-verifica/postagem-engana-ao-sugerir-que-processos-contra-bolsonaro-foram-arquivados/,Enganoso,2023-08-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQYZk-_QtVECLOIe5nzJ9r7DeEPFlRyTdkDJ9GMh66B5CB0J7Tu,"['Jair Bolsonaro', 'Pesquisa', 'Imprensa', 'Factoide']"
Rede Globo em clima de velório foram obrigados a noticiar que nunca houve encontro entre Bolsonaro e o hacker,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/08/25/e-falso-que-bolsonaro-nao-se-encontrou-com-hacker.htm,Falso,2023-08-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ5DXAgzfLypEyrvoz-awKAep6t-NxB04uy_Q7SeDctB6wc66Fx,"['Jair Bolsonaro', 'Hacker', 'TV Globo', 'Clima', 'Velório']"
Bolsonaro disse que irá ‘entregar’ todo mundo caso seja preso,Aos Fatos,https://www.aosfatos.org/noticias/falso-bolsonaro-disse-entregar-todo-mundo/,falso,2023-08-21 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRfluh_flqmjcj8rfn4jXfSnm-DilEIq4XMEcDXDfDRjCRL6tVt,"['Jair Bolsonaro', 'Prisão', 'Mundo']"
Segundo informações bolsonaristas começam a se aglomerar em frente a casa do ex presidente Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaristas-acampam-casa-bolsonaro-evitar-prisao/,Fora de contexto,2023-08-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyd8hW7-kMotLbin-3TccxHfKuYUlBtGmPOO6ybt2DmFnBd-Ii,"['Jair Bolsonaro', 'Bolsonarismo', 'Presidente', 'Informação']"
Justiça nega pedido de prisão de Bolsonaro no caso das joias,Aos Fatos,https://www.aosfatos.org/noticias/falso-justica-negou-prisao-bolsonaro/,falso,2023-08-17 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSTvxrEIC9qJXOJGI2nmKGuMMh6tYXR2VmxgmJcZjJCrobrJbfC,"['Jair Bolsonaro', 'Prisão', 'Justiça', 'Caso das joias envolvendo Jair Bolsonaro']"
Ministério da Saúde de Lula afirmou que não houve negligência durante a pandemia,Estadão,https://www.estadao.com.br/estadao-verifica/ministerio-da-saude-falso-bolsonaro-medidas-de-combate-pandemia/,Falso,2023-09-07 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjVyOnjCqrJG8rSMOzyI4kxl1irux6WBPgmqIa4627svK0_Xct,"['Ministério da Saúde do Brasil', 'Pandemia de COVID-19', 'Luiz Inácio Lula da Silva', 'Ministério', 'Negligência']"
"'Erramos quando demos a facada no Bolsonaro', essa é a fala do Zé Dirceu",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/fala-antiga-de-ze-dirceu-e-tirada-de-contexto-para-alimentar-falsa-ligacao-do-pt-com-facada-em-bolsonaro/,Vídeo enganoso distorce o sentido do discurso ao sugerir relação do PT com o atentado a Bolsonaro. Esta ligação não foi identificada nos inquéritos.,2023-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdFPtux2fA3REXz19yatgVPfPCpZ4titn-P5TUhXeHogiEL0aS,"['José Dirceu', 'Jair Bolsonaro', 'Perfuração por arma branca', 'Fala']"
"""Moraes dá 5 dias para Bolsonaro e governantes se manifestarem sobre população de rua”, “Moraes dá 120 dias para governo federal fazer diagnóstico da população em situação de rua”. O post é acompanhado por um emoji de um rosto pensativo.",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2023/08/02/post-faz-falsa-equivalencia-entre-decisoes-de-moraes.htm,Enganoso,2023-08-02 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTnGmpOyopw1Pfv1vS0wMUxAp3RGY0zbn1CuHdJ8YAHkygbcuMU,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Governo', 'Dia', 'Sem-teto', 'População', 'Diagnóstico', 'Emoji']"
"""EUA provam a vitória de Bolsonaro e a fraude dos esquerdopatas — o satanóide [Lula da Silva] não é presidente do Brasil.""",Observador,https://observador.pt/factchecks/fact-check-eua-provaram-que-bolsonaro-venceu-as-ultimas-eleicoes-presidenciais-do-brasil/,Errado,2023-07-26 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Jair Bolsonaro', 'Presidente', 'Estados Unidos', 'Brasil', 'Luiz Inácio Lula da Silva', 'Presidente do Brasil', 'Fraude']"
"gora, começa a surgir ainda, de maneira mais tranquila -porque não é o presidente Bolsonaro no poder-, que a vacina dá efeito colateral",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/07/11/para-defender-cid-na-cpi-eduardo-bolsonaro-desinforma-sobre-urnas-e-vacina.htm,Distorcido,2023-07-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-BgvoSvC13mwXngRMSGHjlW901U9BLU3KTZ8CZgf2JKbRkzNp,"['Vacina', 'Jair Bolsonaro', 'Presidente', 'Efeito colateral']"
Vídeo mostra congressistas comemorando inelegibilidade de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/falso-video-comemoracao-inelegibilidade-bolsonaro/,falso,2023-07-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQzfbUCwUh-YUcnXUgOuTY1tbVo1dtwAwY-LFI4nWgw6uMMu23R,"['Jair Bolsonaro', 'Inelegibilidade', 'Inelegibilidade de Jair Bolsonaro', 'Vídeo', 'Congressista']"
Site do TSE mostra o total de doações recentes feitas por apoiadores para Bolsonaro via Pix,Aos Fatos,https://www.aosfatos.org/noticias/video-dados-tse-nao-doacoes-pix-para-bolsonaro/,falso,2023-06-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRW_5BUwJSnSVuYERk39ZFHxA4Flx7JNi03NZ-sKOagOywF7Nbj,"['Jair Bolsonaro', 'Tribunal Superior Eleitoral', 'PIX', 'Doação']"
Moraes bloqueia conta de Bolsonaro que pedia PIX,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/06/27/e-falso-que-ministro-alexandre-de-moraes-bloqueou-pix-de-bolsonaro.htm,Falso,2023-06-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ3Hg0ZR8XrmjUuNyZ5DqYhH0olD8RHDk6xeI4n5ZVV6Rdm01Hd,"['Alexandre de Moraes', 'Jair Bolsonaro', 'PIX', 'Bloqueio']"
Bolsonaro pode se tornar inelegível por causa de ação relaciona a compra de vacinas contra a covid-19,Estadão,https://www.estadao.com.br/estadao-verifica/acao-que-pode-tornar-bolsonaro-inelegivel-nao-tem-relacao-com-compra-de-vacinas/,Falso,2023-06-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8Zav3RnJvOOx42-tRHftdn1o51lKmd67gVnaK-F3ZsqAM5-2D,"['Jair Bolsonaro', 'Vacina', 'COVID-19', 'Vacina contra COVID-19']"
Puma aumenta patrocínio de Neymar após hit no TikTok apoiando Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-site-noticiou-aumento-de-patrocinio-a-neymar-apos-video-do-jogador-apoiando-bolsonaro/,Falso,2022-10-02 07:00:00,,"['Neymar', 'Jair Bolsonaro', 'Puma SE', 'PUMA', 'Puma']"
Bolsonaro é carregado por multidão em Franco da Rocha em 2022,Aos Fatos,https://www.aosfatos.org/noticias/video-em-que-bolsonaro-caminha-com-apoiadores-nao-e-recente-nem-foi-gravado-em-franco-da-rocha/,falso,2022-02-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS__OU2wAWhzFGrZUHnVb6EbJ_uKnh8aMhR3tYUwPzq-7uLvWI7,"['Jair Bolsonaro', 'Franco da Rocha', '2022']"
Passamos de déficit para superávit [nas empresas estatais].,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-no-flow/,falso,2022-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTC5m1QQEN6KTkBDXytsHfXyWJ0RpDVaWy8_a5lG1rvuPpCERaB,[]
Professor foi brutalmente agredido por vestir camisa do Bolsonaro,AFP Checamos,https://checamos.afp.com/simpatizante-de-bolsonaro-hostilizado-em-campus-universitario-nao-era-professor-nem-foi-brutalmente,Falso,2018-10-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc2YQJNVD_wU1C8xJ9n0QhKR-zy2jS0AAczyD7O_DTHEOeoXxt,"['Jair Bolsonaro', 'Professor', 'Camisa']"
O papa cumprimentando os fiéis sem máscara é genocida? Ou a narrativa só vale para o presidente Bolsonaro?,AFP Checamos,https://checamos.afp.com/comparacao-entre-papa-e-bolsonaro-sem-mascara-ignora-estagio-da-pandemia-nos-dois-paises,Sem contexto,2021-06-24 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS1Qcaw0EHD7ObouIqdH4wDtN0QapoGFhkUGH5L_HaD_7iQzpxY,"['Jair Bolsonaro', 'Papa', 'Máscara', 'Presidente', 'Genocídio', 'Narração']"
Bolsonaro disse que se alistaria ao exército nazista na Segunda Guerra Mundial,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/02/11/e-falso-que-bolsonaro-disse-que-se-alistaria-ao-exercito-nazista.htm,Falso,2022-02-11 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRsPoEjS-Z0p2FvrGGC3wFSC24utKRFzYSK_KK6w1t5MFnxKAMR,"['Jair Bolsonaro', 'Nazismo', 'Exército', 'Guerra', 'Segunda Guerra Mundial', 'Mundo', 'Guerra mundial']"
"""Médico que atendeu o Presidente Bolsonaro após ele receber a facada. Ele disse tudo!!! Como estamos nos sentindo nesse momento! Chorei!!! Que Deus ilumine e abençoe o nosso querido Presidente nessa hora tão difícil!!!""",Observador,https://observador.pt/factchecks/fact-check-medico-que-atendeu-bolsonaro-depois-de-ser-vitima-de-uma-facada-pede-ajuda-ao-presidente-cessante/,Errado,2022-12-29 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Jair Bolsonaro', 'Presidente', 'Perfuração por arma branca', 'Deus']"
BMW lança moto em homenagem a Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/moto-bmw-detalhes-verde-amarelo-nao-homenagem-bolsonaro/,falso,2022-04-04 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRSnq7NOJnW7ABUd63USpIzD0KCF3JVrHKnr-wbaQhF7Vl5iFXo,"['Jair Bolsonaro', 'Motocicleta', 'BMW']"
O ministro Gilmar Mendes disse que sairá do STF se Bolsonaro for reeleito presidente,AFP Checamos,https://checamos.afp.com/nao-ha-registros-de-que-gilmar-mendes-tenha-dito-que-saira-do-stf-se-bolsonaro-reeleito,Sem registro,2021-04-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRwvaUFBnvFuLH-z12gttvtkLJYQfyc8btkge7k6V3EzZbYzG4u,"['Gilmar Mendes', 'Jair Bolsonaro', 'Supremo Tribunal Federal', 'Reeleição', 'Ministro', 'Presidente']"
