Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Moraes sendo detonado por particulares,AFP Checamos,https://checamos.afp.com/doc.afp.com.67E27T3,Enganoso,2025-07-21 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSqx2-nhggfAhmAq5rpNKztxA1Dlm8oAXEBRstzZvtzfgZqk6wV,['Alexandre de Moraes']
Exército dos EUA no Brasil,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/08/13/trump-nao-ameacou-enviar-tropas-contra-alexandre-de-moraes.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRsXpv1teqlYnQ_64crZX1PuoM1dAq1RKa_f-Pe818TI93wrfgD,"['Estados Unidos', 'Brasil', 'Forças armadas', 'Exército dos Estados Unidos']"
Trump manda recado em português para o Brasil com críticas ao ministro Alexandre de Moraes e ao STF,Aos Fatos,https://www.aosfatos.org/noticias/video-em-que-trump-critica-moraes-e-o-stf-foi-manipulado-por-ia/,falso,2025-07-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk44NiM0BI7Y76RPqdCndAsat_QW_JMzUw6CWbZr5raoTyDV_8,"['Alexandre de Moraes', 'Donald Trump', 'Supremo Tribunal Federal', 'Ministro', 'Brasil', 'Mensagem', 'Português', 'Pará']"
Jornal Nacional noticiou nesta semana novos desdobramentos da ‘Vaza Toga’,Aos Fatos,https://www.aosfatos.org/noticias/jornal-nacional-nao-noticiou-novas-revelacoes-da-vaza-toga/,falso,2025-08-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSVrULyIZWs8eQ_0mShaSeLAUIae4m0saG3gsffbAVg1bvnR8Yr,"['Jornal Nacional', 'Vaza Toga']"
Alexandre de Moraes ordenou o bloqueio das contas de Trump nas redes sociais,Aos Fatos,https://www.aosfatos.org/noticias/moraes-nao-mandou-bloquear-contas-de-trump-nas-redes-sociais/,falso,2025-07-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkAtVz-v3EvnF_LZ0nNo5UJKqShAZvyh3VjjhtcbKR3DbwxZ0O,"['Alexandre de Moraes', 'Donald Trump', 'Rede social']"
Moraes defendeu soberania do Brasil após anúncio de taxação por Trump,Estadão,https://www.estadao.com.br/estadao-verifica/video-alexandre-moraes-soberania-brasil-fora-de-contexto/,Fora de contexto,2025-07-10 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRWRK4cWPF6AEIgovAD3I9mrOQQCkNp70i5HaGOBZ2OhrihS8TA,"['Alexandre de Moraes', 'Donald Trump', 'Brasil', 'Soberania', 'Taxa']"
Ministros do STF vão para Roma fugir da Lei Magnitsky,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-moraes-embaixada-roma-magnitsky-falso/,Falso,2025-07-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSACPB1FPmQEGlQ0vhbXAXxmxWghw6IWhi6YEE7eqrlQYI2b6jR,"['Supremo Tribunal Federal', 'Ministro', 'Lei Magnitsky']"
Alexandre de Moraes determinou censura em comentários de redes sociais,Agência Tatu,https://www.agenciatatu.com.br/noticia/alexandre-de-moraes-nao-determinou-censura/,Falso,2025-07-01 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQyVcgn_BAg0_rbj-CJ0PJIKeswl5K2kzlIdqfRBfZpO_p3Chge,"['Alexandre de Moraes', 'Censura no Brasil', 'Rede social', 'Rede de computadores']"
URGENTE: Alexandre de Moraes dá 48 horas para a FIFA explicar os ataques ao presidente Lula na Copa do Mundo de Clubes,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/06/30/alexandre-moraes-fifa-cartaz-torcida-flamengo-lula-falso.htm,Falso,2025-06-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRUYnOU0Wlx3f7tHPVl4fqYAMtaio1JdJDdwfzAdCv6ykeWhhdR,"['Alexandre de Moraes', 'Luiz Inácio Lula da Silva', 'Presidente', 'Copa do Mundo', 'Copa do Mundo de Clubes da FIFA']"
Vazou documento sigiloso do STF que mostra que Alexandre de Moraes manipulou provas contra Alexandre de Moraes,Estadão,https://www.estadao.com.br/estadao-verifica/vazou-documento-sigiloso-alexandre-de-moraes-bolsonaro/,Falso,2025-06-17 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMApSd7PfdL1JYm5HvwFJ5t-O9kn8xh1iE8nGx4BBaTnKWZU0O,"['Alexandre de Moraes', 'Supremo Tribunal Federal', 'Documento', 'Prova']"
Ministro Alexandre de Moraes é dono de uma fazenda avaliada em R$ 100 milhões,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-de-moraes-dono-fazenda-100-milhoes-falso/,Falso,2025-06-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSQHoRJ3waFxo0NuzqmR5CbKpW5s04x47SjimeQwzp4LFW33MNt,"['Alexandre de Moraes', 'Fazenda', 'Ministro']"
Falsas notificações usam ironia para insinuar censura do ministro do Supremo Tribunal Federal,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/06/27/moraes-e-ligado-sem-prova-a-suposta-censura-nas-redes-sociais.htm,Falso,2025-06-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSwqQ0rmxrI4vp9MiGJ-GDgPlHALb8i32LLvuaZ9DWDmbFclGa9,"['Censura', 'Ministro do Supremo Tribunal Federal do Brasil', 'Ironia']"
"Tagliaferro, ex-assessor de Moraes, diz em vídeo que havia infiltrados no 8 de Janeiro",Aos Fatos,https://www.aosfatos.org/noticias/ex-assessor-moraes-nao-disse-havia-infiltrados-esquerda-8-janeiro/,falso,2025-05-14 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKAEWdQzwJo_pbj6_6rTFPqyEr7RE3mOu956G5K3At9H3l0frv,"['Alexandre de Moraes', 'Ataques de 8 de janeiro em Brasília', 'Janeiro', 'Vídeo', 'Conselheiro']"
Alexandre de Moraes deu 48 horas para Lady Gaga se posicionar a respeito de apoio a Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/lady-gaga-bolsonaro-alexandre-de-moraes-48-horas-falso/,Falso,2025-05-12 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTC7suVLiZbkK-Wcubw5owfAJqmuNia0ZqMBBp3XU1nEoSJRS5M,"['Lady Gaga', 'Alexandre de Moraes', 'Jair Bolsonaro']"
Alexandre de Moraes foi condenado por tribunal dos EUA,AFP Checamos,https://checamos.afp.com/doc.afp.com.436B9T3,Falso,2025-04-22 07:00:00,,"['Alexandre de Moraes', 'Tribunal', 'Estados Unidos', 'Sentença']"
Alexandre de Moraes é condenado por corte dos Estados Unidos,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/04/16/alexandre-de-moraes-nao-violou-direitos-humanos-na-corte-internacional.htm,Enganoso,2025-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcStscG3GEcfLz3wJftvYnP1RD4MLhWs5jr-IH7PPiP6LcCuAdFB,"['Alexandre de Moraes', 'Tribunal', 'Condenado', 'Estados Unidos']"
Moraes foi condenado por corte dos Estados Unidos por violar direitos humanos na corte internacional,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-moraes-condenado-estados-unidos-enganoso/,Enganoso,2025-04-16 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwJ-aG4-LGAPXZJdRXdTbaySGe8xqF3gI4huoo8avTQ7zmirZP,"['Alexandre de Moraes', 'Estados Unidos', 'Tribunal', 'Direitos humanos', 'Humano', 'Direito', 'Tribunal Internacional']"
Moraes é condenado por corte nos EUA,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-mostra-debate-sobre-acoes-de-alexandre-de-moares-nao-de-condenacao-do-ministro-nos-eua/,"Enganoso: Publicação tira de contexto fala de deputada em comissão. A audiência não teve caráter condenatório, ao contrário do que afirma o post.",2025-04-15 07:00:00,,"['Alexandre de Moraes', 'Estados Unidos', 'Tribunal', 'Sentença']"
Juíza dos Estados Unidos manda recado a Moraes,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/04/04/e-manipulado-video-de-suposta-juiza-dos-eua-criticando-alexandre-de-moraes.htm,Falso,2025-04-04 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThrn2TIeslY8Dcu6QRIQAkhpJUoQuQskl0UJTxNoj2Kj-LHTyB,"['Alexandre de Moraes', 'Juiz', 'Estados Unidos', 'Mensagem']"
Trump impôs sanções que levaram Moraes a perder imóveis e dinheiro nos EUA,Aos Fatos,https://www.aosfatos.org/noticias/trump-nao-impos-sancoes-aos-bens-de-alexandre-de-moraes-nos-eua/,falso,2025-04-04 07:00:00,,"['Alexandre de Moraes', 'Donald Trump', 'Estados Unidos', 'Sanção jurídica', 'Imóvel', 'Dinheiro']"
