Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
A situação clínica do ex-presidente acaba de se agravar e informações de bastidores sugerem uma tentativa de eliminação física por agentes patogénicos colocados na sua cela,Observador,https://observador.pt/factchecks/fact-check-jair-bolsonaro-foi-envenenado-com-chumbo-dentro-da-prisao/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Presidente', 'Informação', 'Agente patogénico', 'Física']"
A Polícia Federal pede a prisão do Alexandre de Moraes por fraudar Documentos falsos contra o Jair messias Bolsonaro.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/10/falso-pf-pedido-prisao-alexandre-de-moraes.ghtm,Falso,2026-04-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQXrwuSxYdoy9yhUzVpBCD0ZWHawQ09LXTFTh_lI2rtd8Af265z,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Fraude', 'Prisão', 'Polícia', 'Documento']"
"PF pediu prisão de Moraes, que fraudou documentos contra Jair Bolsonaro",Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-pf-pediu-prisao-de-moraes-por-fraude-documental-contra-bolsonaro/,falso,2026-04-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ7esHfltavBnUzdxY8FL3IqGYfURDVRXkGFcdWTBlg5nQfdjDl,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Prisão', 'Documento']"
Vídeo mostra Bolsonaro e Michelle comemorando prisão domiciliar em 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.A6LU69F,Falso,2026-04-02 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjEfzoc1L4LGAQ8IHmlEuRn-mIPcW4Hs0SoeVFyW55FfCXwLyT,"['Jair Bolsonaro', 'Michelle Bolsonaro', 'Prisão domiciliar', 'Prisão', '2026', 'Vídeo']"
Jair Bolsonaro sai do hospital em pé acenando para apoiadores,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-acena-alta-hospital-enganoso-2025/,Enganoso,2026-03-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSu9T8wwHb26hWtCD6GUlUE6CqFcBrgvQ-N1czjZkRZ4UrCZ3xQ,"['Jair Bolsonaro', 'Hospital']"
Áudio grampeado de Lula exige prisão e inelegibilidade de Flávio Bolsonaro antes das eleições,Estadão,https://www.estadao.com.br/estadao-verifica/audio-falso-lula-prisao-flavio-bolsonaro-eleicoes/,Falso,2026-03-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRuDo7Tx7UFOS7RTgsRYKaK0AypKs3wftm430LuobF5g8iq-ztt,"['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Inelegibilidade', 'Eleição', 'Prisão']"
Fux ordena liberdade ao Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A2V88ZQ,Falso,2026-03-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRSNh9mNI3MJcIuizdiy93WslUjlb-NFiiOMzfcpO0AHQ8u_3ol,"['Jair Bolsonaro', 'Luiz Fux']"
PF descobriu que Alexandre de Moraes recebeu dinheiro para condenar Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pf-tenha-afirmado-que-moraes-prendeu-bolsonaro-por-dinheiro/,Falso,2026-03-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc0Q2GyMcn2HRIH_zb4fFTdmI3PYBEOcSOBqGwUkPQvYY5ypLY,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Dinheiro', 'Condenação']"
PF descobre que Moraes recebeu R$ 30 milhões por mês para prender Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-moraes-recebeu-propina-para-prender-bolsonaro/,falso,2026-03-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYxceSsWQ1xJGNSPEh1_gMoJckhjKEBugUg-BHRZjXRmEWzNIk,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Mês']"
Polícia Federal descobre que Moraes prendeu Bolsonaro por dinheiro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/09/e-falso-que-pf-descobriu-que-moraes-prendeu-bolsonaro-por-dinheiro.htm,Falso,2026-03-09 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwqyQdIaYQSRCUCMIs6f7N5rfw9HHsSO8mbBrRAb2oH2lEayNR,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Polícia Federal', 'Departamento de Polícia Federal', 'Polícia']"
Bolsonaro apanhou na prisão. Michelle está desesperada! Conselho de Medicina solta bomba. Moraes mentiu!,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/19/falso-jair-bolsonaro-agredido-prisao.htm,Falso,2026-01-19 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVMPMVfRDzzTKmuoiD9ndaUNLKenO4pZol1kOisj7_A62fYdab,"['Jair Bolsonaro', 'Prisão', 'Alexandre de Moraes', 'Michelle Bolsonaro', 'Medicina']"
STF não tem tem competência para decidir medidas da execução penal de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/stf-execucao-penal-jair-bolsonaro/,Falso,2026-01-15 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfoKJTm38FEiTI6Ily1O1NLJmOs6j59KCDYRtynLxYOmNi-H3O,"['Jair Bolsonaro', 'Supremo Tribunal Federal', 'Direito penal']"
"Jair Messias Bolsonaro passou mal e desmaiou na cadeia. Quando chegou ao hospital, os funcionários receberam o capitão orando pela sua vida e saúde. Que o mal que está a ser praticado contra Bolsonaro volte em dobro para quem é culpado desta perseguição e tirania. Em nome de Jesus a justiça virá.",Observador,https://observador.pt/factchecks/fact-check-video-mostra-jair-bolsonaro-no-hospital-depois-de-ter-desmaiado-na-prisao/,Errado,2026-01-14 08:00:00,,"['Jair Bolsonaro', 'Hospital', 'Oração', 'Prisão', 'Síncope', 'Saúde', 'Mal', 'Justiça']"
Protesto contra a prisão de Bolsonaro.,Observador,https://observador.pt/factchecks/fact-check-video-mostra-protesto-contra-prisao-do-ex-presidente-brasileiro-jair-bolsonaro/,Errado,2025-12-11 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTbc1oYGE0Iz78orV5bXwaLEK86f414nIGoRUWjHL3RAEWA8idc,"['Jair Bolsonaro', 'Protesto', 'Prisão de Jair Bolsonaro', 'Prisão']"
Lula liga para ministro para parabenizar sobre a prisão de Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/03/e-falso-suposto-audio-de-lula-parabenizando-moraes-por-prisao-de-bolsonaro.htm,Falso,2025-12-03 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSWNuHoGHwuTs0QMH4BCeO4DYefYWhN0MLzE_FCsl6zyJksPTi6,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Prisão de Jair Bolsonaro', 'Ministro', 'Prisão']"
"Em áudio, Lula parabeniza Moraes pela prisão de Bolsonaro",Aos Fatos,https://www.aosfatos.org/noticias/e-falso-audio-em-que-lula-parabeniza-moraes-pela-prisao-de-bolsonaro/,falso,2025-12-02 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTHGW1yVN6eCTwwL-dF0TKTnKBifV7C94Dwso5FgDJyTJ1UXaAP,"['Luiz Inácio Lula da Silva', 'Alexandre de Moraes', 'Prisão de Jair Bolsonaro', 'Jair Bolsonaro', 'Prisão']"
Putin diz que na Rússia golpistas são executados em referência à prisão de Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.86J4463,Falso,2025-11-28 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFOBtq8Bzm_hkzG1auxyEd6Ugeh60jB_DgUjwhx-J70CBnSxbn,"['Jair Bolsonaro', 'Vladimir Putin', 'Prisão de Jair Bolsonaro', 'Rússia', 'Prisão']"
Caminhoneiros começam a parar após prisão de Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.86GN9G4,Falso,2025-11-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQmOaE8cL-C5r0txaCvLiWsGhgS8dSHb2kN5-TBlMIUIcOiUqxJ,"['Jair Bolsonaro', 'Prisão de Jair Bolsonaro', 'Prisão', 'Caminhoneiro']"
Vídeo mostra motociata em Goiânia em 23 de novembro de 2025 contra a prisão de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/videos-nao-mostram-protestos-contra-prisao-de-bolsonaro/,falso,2025-11-26 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ8jmzelEL4m9HxKEJ9rghG9WVMTq4QiZhqXoEbwBHhUkUHqBCP,"['Jair Bolsonaro', 'Prisão de Jair Bolsonaro', 'Vídeo', 'Prisão', 'Goiânia', '2025', 'Novembro', '23 de novembro']"
Porta-voz dos EUA anunciou uma resposta militar à prisão de Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.86968ZQ,Enganoso,2025-11-26 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ73rJmvbUJxLqgJ6Z0ukY1JA109NSzT2f_gpDnKdtbr_M8yive,"['Jair Bolsonaro', 'Prisão de Jair Bolsonaro', 'Porta-voz', 'Estados Unidos', 'Prisão', 'Militar']"
Multidão na Avenida Paulista comemora a prisão de Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.86AG3CR,Falso,2025-11-26 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRTfuvv7-Q5b6P4yAqQ2zUr1FCX2A519dhowso737m7o_kvgDgD,"['Jair Bolsonaro', 'Prisão de Jair Bolsonaro', 'Avenida Paulista', 'Prisão']"
Vídeo mostra reação de Bolsonaro à prisão de Lula e de Lula à prisão de Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/racao-bolsonaro-lula-prisoes-adversarios-enganoso-papuda-lhe-espera/,Enganoso,2025-11-24 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS41yCcCrmfJ5kVKm1mALzny3W_BxtvTIfBGqOxQUdXWhJqDumu,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Prisão', 'Prisão de Luiz Inácio Lula da Silva', 'Prisão de Jair Bolsonaro', 'Vídeo']"
Bolsonaro alegou ter Alzheimer em pedido de prisão domiciliar,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-bolsonaro-alegou-ter-alzheimer-em-pedido-de-prisao-domiciliar/,falso,2025-12-18 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSjWa5QPmziSs2dqPyuRQgPeNLz2bdten3WrlTOhVdV6N1tvxLz,"['Jair Bolsonaro', 'Prisão domiciliar', 'Doença de Alzheimer', 'Prisão']"
Bolsonaro é levado ao hospital após passar mal e desmaiar na cadeia,AFP Checamos,https://checamos.afp.com/doc.afp.com.88FZ99E,Falso,2025-12-17 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQLTVTwIRZzpq9QTZMaZ6uwDHpE7snPb68brU5R3VHX7-BoNsXO,"['Jair Bolsonaro', 'Prisão', 'Síncope', 'Hospital']"
Jair Bolsonaro saiu da prisão para fazer exames de rotina e descobriu que está curado do câncer,AFP Checamos,https://checamos.afp.com/doc.afp.com.88FV9G4,Falso,2025-12-17 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgy8JWX2mQkv3dTSEkkZLsvswgTMPY5Oz1j2ubl3aXC_odePt4,"['Jair Bolsonaro', 'Prisão', 'Câncer']"
Vídeo mostra ato a favor da prisão de Bolsonaro na Paulista neste sábado (22),Aos Fatos,https://www.aosfatos.org/noticias/video-manifestacao-contra-bolsonaro-avenida-paulista-setembro-nao-atual/,falso,2025-11-22 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFIa2uCuAoLXtU9k8fqy8pjpjCJ61HO6RCtJSG7SSuG0jbIgYq,"['Jair Bolsonaro', 'Avenida Paulista', 'Prisão de Jair Bolsonaro', 'Prisão', 'Vídeo']"
