Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Entre Glauber Braga, Marcel Van Hattem e André Janones, só Marcel Van Hattem sofreu punição na Câmara dos Deputados",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/18/glauber-braga-foi-suspenso-por-6-meses-e-janones-firmou-acordo.ghtm,Distorcido,2026-05-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTiJqyRUWtHZraUuLPVdYb1z0r0qagomEv21dSqu1Ihy0iM1o8N,"['Glauber Braga', 'Câmara dos Deputados, Brasil', 'Deputado', 'André Janones', 'Marcel van Hattem', 'Punição']"
Glauber Braga não foi punido pelo episódio de agressão na Câmara dos Deputados,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2JJ4NQ,Enganoso,2026-05-11 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT8GZQGyhcvRCeTPp0VPa1pyxtk3qCMEkAHXtrvooMQhfq9cE5h,"['Glauber Braga', 'Câmara dos Deputados, Brasil', 'Deputado', 'Agressão', 'Punição', 'Episódio']"
"que Nikolas Ferreira teve em 2025, 185 presenças, 103 dias de folga, 55 dias de férias e 22 faltas",Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-falta-camara-dos-deputados/,Enganoso,2026-02-11 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSRq8X0Yon8z2PvCO3Fvx3JzYkUpymGfe0W-3jojqfoPi7ygh2-,"['Nikolas Ferreira', 'Dia', 'Férias laborais', '2025']"
"O presidente da Câmara dos Deputados, Hugo Motta, fez um Pix de R$ 12 milhões em recursos públicos ao deputado federal Alexandre Ramagem (PL-RJ), condenado e foragido.",Estadão,https://www.estadao.com.br/estadao-verifica/enganoso-motta-pix-12-milhoes-ramagem-emendas/,Enganoso,2025-12-10 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSWvxAL57pK1JApYfte6q75Y9VWq2Zm62ROKwgxZjzc0d7iGPvW,"['Hugo Motta', 'Alexandre Ramagem', 'Presidente da Câmara dos Deputados do Brasil', 'Deputado', 'Câmara dos Deputados, Brasil', 'Deputado Federal do Brasil', 'Presidente', 'Partido Liberal']"
PL da Anistia é aprovado pela Câmara dos Deputados,AFP Checamos,https://checamos.afp.com/doc.afp.com.86UK6NR,Enganoso,2025-12-02 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUS_6soXiQuE4Q0wxz0WKCMb8ffCSnB3xK33zFHh2OP9ErNN6y,"['Anistia', 'Partido Liberal', 'Câmara dos Deputados, Brasil', 'Deputado']"
"""Então teremos de prendê-lo"". Trump ameaça prender o presidente eleito para a Câmara de Nova Iorque. Este presidente só se ferra vai acabar igual ao Bolsonaro.",Observador,https://observador.pt/factchecks/fact-check-donald-trump-diz-que-vai-prender-o-recem-eleito-presidente-da-camara-de-nova-iorque/,Enganador,2025-11-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT7EC9JTQvpT4eoev45ZD_q7vPnCJRIKFPX3WrtWSAo--cRMwwf,"['Donald Trump', 'Presidente', 'Nova Iorque', 'Eleição', 'Jair Bolsonaro', 'Câmara dos Deputados, Brasil']"
Também aumentou — mais do que dobrou — as mortes provocadas por policiais em serviço.,Aletheia Fact,https://aletheiafact.org/personality/henrique-vieira/claim/discurso-da-camara-dos-deputados-sobre-pl-55822025-que-dispoe-sobre-o-combate-as-organizacoes-criminosas/sentence/7138a4b484ad13489e867208a8502c4c,Exagerado,,,"['Organização', 'Discurso', 'Partido Liberal', 'Câmara dos Deputados, Brasil', 'Deputado', 'Morte', 'Polícia']"
"Sob a sua gestão, aumentou o número de mortes de policiais.",Aletheia Fact,https://aletheiafact.org/personality/henrique-vieira/claim/discurso-da-camara-dos-deputados-sobre-pl-55822025-que-dispoe-sobre-o-combate-as-organizacoes-criminosas/sentence/d64ce8f2bfaf4791376a8a92bc1f8902,Enganoso,,,"['Organização', 'Administração', 'Número', 'Partido Liberal', 'Discurso', 'Câmara dos Deputados, Brasil', 'Morte', 'Deputado', 'Polícia']"
Anistia aos presos pelo 8 de Janeiro foi aprovada na Câmara dos Deputados.,Aos Fatos,https://www.aosfatos.org/noticias/camara-aprovou-urgencia-nao-anistia-aos-golpistas-do-8-de-janeiro/,falso,2025-09-18 07:00:00,,"['Anistia', 'Câmara dos Deputados, Brasil', 'Ataques de 8 de janeiro em Brasília', 'Janeiro']"
CCJ da Câmara suspende o julgamento de Bolsonaro no STF,AFP Checamos,https://checamos.afp.com/doc.afp.com.73FV8CR,Enganoso,2025-09-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQedger7kvApHdDYkiMHdYpqnakw21k_PpfY_dh1GyxiIERKS1s,"['Jair Bolsonaro', 'Comissão de Constituição e Justiça e de Cidadania', 'Sentença', 'Supremo Tribunal Federal', 'Julgamento de Bolsonaro', 'Câmara dos Deputados, Brasil']"
