Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Lula ladrão seu lugar é na prisão em plena propaganda eleitoral na Marquês de Sapucaí,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/19/falso-video-lula-vaiado-sapucai.htm,Falso,2026-02-19 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ4bbjH1E0H5lEX-D1nL2Av8drhtb-Lio2D__oS83ZF_PnOteHn,"['Sambódromo Marquês de Sapucaí', 'Luiz Inácio Lula da Silva', 'Eleição', 'Cândido José de Araújo Viana', 'Campanha eleitoral', 'Prisão', 'Propaganda']"
Fraudes no INSS financiaram campanhas eleitorais do PT,Estadão,https://www.estadao.com.br/estadao-verifica/careca-inss-financiou-campanha-pt-dilma-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTTM2I67wLzZAazd6HZZHEmKmMOiX09TxB0MzfsC_xJNbi4qFd9,"['Instituto Nacional do Seguro Social', 'Partido dos Trabalhadores', 'INSS', 'Partido dos Trabalhadores', 'Esquema de fraudes no INSS', 'Eleição', 'Campanha eleitoral', 'Fraude']"
"Onyx Lorenzoni recebeu Pix do ""Careca do INSS"" para a campanha eleitoral",Estadão,https://www.estadao.com.br/estadao-verifica/enganoso-onyx-recebido-pix-careca-inss-campanha-eleitoral/,Enganoso,2025-07-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS1-MeKf4GwuBQANOJHSMAIFufujtVCLz2p6btJd8XnNqw8zGqT,"['Onyx Lorenzoni', 'Careca do INSS', 'Instituto Nacional do Seguro Social', 'INSS', 'PIX', 'Campanha eleitoral', 'Eleição']"
Projeto em discussão no Senado prevê sete anos de reclusão para quem duvidar do sistema eleitoral.,Estadão,https://www.estadao.com.br/estadao-verifica/quem-duvidar-das-urnas-7-anos-de-prisao-enganoso/,Enganoso,2025-06-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT08coUN0dMUjm4Gqhmbf-eGskOeDMNAVusOY8P0KIsxs_fucxo,"['Sistema eleitoral do Brasil', 'Eleição', 'Senado Federal do Brasil', 'Projeto', 'Reclusão', 'discussão']"
Marçal gastou zero reais em campanha eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/falso-campanha-pablo-marcal-custo-zero/,falso,2024-10-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkUPIS8E2gK1j67rC3SIa9I_KftKgdHd_PnIkRJHCyEcCrac75,"['Pablo Marçal', 'Eleição', 'Campanha eleitoral']"
William Bonner gravou propaganda eleitoral para vereadores,Aos Fatos,https://www.aosfatos.org/noticias/deepfakes-william-bonner-voto-candidatos-vereador/,falso,2024-10-04 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT3L9pZnUd1xgaiVekyIpdPgsozvZqKH2xAGWgrwFpOn2lFwljN,"['William Bonner', 'Eleição', 'Vereador', 'Campanha eleitoral', 'Propaganda']"
"Pablo Marçal gastou R$ 0,00 na campanha à Prefeitura de São Paulo",Estadão,https://www.estadao.com.br/estadao-verifica/pablo-marcal-zero-gasto-falso/,Falso,,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYlp0-m1wtUrrB9cknSc11_fJisgpO9178-J11nELDaFFnaTg-,"['Pablo Marçal', 'São Paulo', 'Alexandre Campanha de Campos', 'São Paulo']"
"""O pessoal se sensibilizou e os números são impressionantes"", diz homem ao mostrar dados de doações de campanha eleitoral como se fossem Pix para Bolsonaro",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/06/28/site-do-tse-mostra-doacoes-de-campanha-eleitoral-nao-de-pix-de-bolsonaro.htm,Falso,2023-06-28 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTHXRfSS0EqU1YELl7VBPYt8EfOb5rqC8FdURwlWRbjP4yMLtpv,"['Jair Bolsonaro', 'PIX', 'Campanha eleitoral', 'Eleição', 'Doação', 'Número', 'Dados', 'Homem']"
"O aplicativo do TSE , denominado de Pardal, criado para denúncias de propaganda eleitoral irregular e outras afrontas a lei eleitoral não permite denúncias contra o PT.",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-aplicativo-do-tse-nao-permita-denuncias-contra-o-pt-eleitor-deve-selecionar-federacao-partidaria/,Falso,2022-10-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHgJUqSahjTZ33dSTL-Xe19r4tmfjzgRFS3W5znT7OKrfnXsOu,"['Tribunal Superior Eleitoral', 'Partido dos Trabalhadores', 'Denúncia', 'Eleição', 'Partido dos Trabalhadores', 'Campanha eleitoral', 'Lei']"
"Foi este travestido de magistrado, que com uma só canetada proibiu Bolsonaro de mostrar as imagens do dia sete de setembro na sua propaganda eleitoral gratuita na televisão... mais uma PTralhada de toga",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/19/e-falsa-foto-de-ministro-do-tse-vestindo-roupa-com-foto-de-lula.htm,Falso,2022-09-19 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRn42yTzfMW0nv9HkppcUBmImBeQxawL1N3ITvHzQiI1dTv-lt,"['Jair Bolsonaro', 'Eleição', 'Imagem', 'Campanha eleitoral', 'Dia da Independência do Brasil', 'Televisão', 'Toga', 'Propaganda', 'Magistrado']"
