Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
BOLSONARO APARECE NA UTI EM VÍDEO DIVULGADO POR CARLOS BOLSONARO.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/24/falso-video-bolsonaro-internado-uti-pneumonia.ghtm,Distorcido,2026-03-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSfJ4Cx5OFjwvqWCviiZ66ti46SH_7mSruQu3Dn4ZJdWHKqc3fb,"['Jair Bolsonaro', 'Carlos Bolsonaro', 'Vídeo', 'Unidade de terapia intensiva']"
Vídeo mostra Jair Bolsonaro internado atualmente na UTI de um hospital,Estadão,https://www.estadao.com.br/estadao-verifica/video-mostra-bolsonaro-uti-michelle-2023/,Enganoso,2026-03-16 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTWBLqU028KV6bQC0blVIQpIwd2soU7uJ-PZoLIIYpoAzYK1eVI,"['Jair Bolsonaro', 'Hospitalização', 'Vídeo', 'Hospital', 'Unidade de terapia intensiva']"
André Mendonça pode usar a ‘Seção 301’ para permitir que CIA prenda pessoas no Brasil,Aos Fatos,https://www.aosfatos.org/noticias/falso-secao-301-permite-cia-atue-brasil/,falso,2026-03-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRh5t6ZrNxCuE3nmqOkT1xtXAX76dhNcXSwBllo7QncMkZ_Q6Rb,"['André Mendonça', 'Brasil']"
Médico dá somente alguns dias de vida a Bolsonaro.,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-nao-recebeu-diagnostico-somente-alguns-dias-vida/,falso,2026-01-16 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSo1utiRPMN6gUeq7fHCctjWuGTihCtbGjaBW7qyDJk_v-n8B1G,"['Jair Bolsonaro', 'Medicina', 'Dia', 'Vida']"
"Carlos Bolsonaro publicou vídeo de Jair Bolsonaro, gravado na cela da superintendência da Polícia Federal, em Brasília",Aos Fatos,https://www.aosfatos.org/noticias/video-bolsonaro-solucos-antigo-nao-gravado-sala-pf/,falso,2025-12-15 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTW-gXpGitgJHFFkkpSvbl6eOG2sRElA8-0DWfUpQtjQgZTT14S,"['Jair Bolsonaro', 'Carlos Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Vídeo', 'Polícia', 'Brasília', 'Cela']"
Carlos Bolsonaro aprovou o Dia do Heterossexual,Estadão,https://www.estadao.com.br/estadao-verifica/falso-carlos-bolsonaro-aprovado-dia-do-heterossexual/,Enganoso,2025-11-19 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTiRx1y6MSv2-Y5EZJS_LpEgn37NMWktiU_k3zBUobywlKMcUiD,"['Carlos Bolsonaro', 'Heterossexualidade', 'Jornal O Dia']"
Carlos Bolsonaro se despede do Rio de Janeiro para ser senador por Santa Catarina com apenas dois projetos aprovados: dia do conservadorismo e dia do heterossexual,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/18/e-falso-que-carlos-bolsonaro-teve-so-dois-projetos-aprovados-no-rio.htm,Falso,2025-11-18 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSAGzAogfgVhnkKFsREe9jFiVr4kOclpUYGcmShICrwd4PtNjxm,"['Carlos Bolsonaro', 'Rio de Janeiro', 'Projeto', 'Senado Federal do Brasil', 'Conservadorismo', 'Santa Catarina', 'Heterossexualidade']"
"STF condena homem com ""lepra"" e que vendia balas",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/homem-com-hanseniase-foi-condenado-por-associacao-criminosa-no-8-1-e-nao-por-vender-balas/,Enganoso,2025-08-28 07:00:00,,"['Hanseníase', 'Supremo Tribunal Federal', 'Homem', 'Mycobacterium leprae']"
Jornalista afirma que trechos da Bíblia podem ser proibidos,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-e-tirado-de-contexto-para-dizer-que-trechos-da-biblia-serao-banidos-de-redes-sociais/,"Enganoso: No vídeo, que é antigo, a jornalista Daniela Lima, então âncora na CNN Brasil, comentava uma postagem do ex-deputado federal Deltan Dallagnol.",2025-02-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSBOhg7hO9RuoC9sd1GzQCjcd2ccPWsg_NMZ3ijGJhJfI0aNYdA,"['Bíblia', 'Jornalista']"
"O mandado de apreensão era datado de hoje, 29/JAN. Ou seja, durante o recesso, logo após a super live que pela 1º vez reuniu Jair Bolsonaro, Flávio Bolsonaro, Carlos Bolsonaro e eu, Alexandre de Moraes escreveu os mandados. Tudo confeccionado entre meia-noite e 06:00h de hoje. Ao que tudo indica, para que todos fossem objeto de busca com base em investigação direcionado ao Carlos.",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/02/01/mandado-contra-carlos-bolsonaro-nao-foi-feito-depois-de-live.htm,Impreciso,2024-02-01 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSyYhzXw5BDtuPGxIBdfxTzSy3O3WRmtxOuhRZNa9Cu8XtoPJWo,"['Carlos Bolsonaro', 'Mandado', 'Alexandre de Moraes', 'Jair Bolsonaro', 'Flávio Bolsonaro', 'Confiscação']"
