Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Congresso aprovou lei que criminaliza o uso do fogão a lenha,Aos Fatos,https://www.aosfatos.org/noticias/congresso-lei-criminaliza-fogao-lenha/,falso,2026-04-10 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQZbmRSiJSz6eKfbjsckW3Rt5eB3To3aDLWU4yHCbXfMwjdcXL0,"['Fogão a lenha', 'Lenha', 'Crime', 'Lei', 'Fogão', 'Congresso Nacional']"
Ministra Cármen Lúcia chora e admite apoiar anistia que tramita no Congresso,Estadão,https://www.estadao.com.br/estadao-verifica/carmen-lucia-apoiar-anistia-que-tramita-no-congresso-falso/,Falso,2025-10-03 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAiJFuAVyMT84Rh_6IZa8jGQF6cKAP0zQhzaFNk2-E_V0ZNZ3c,"['Cármen Lúcia Antunes Rocha', 'Anistia', 'Congresso Nacional', 'Ministro']"
Urgente Congresso americano convidou o Eduardo Bolsonaro pra depor,AFP Checamos,https://checamos.afp.com/doc.afp.com.77E68CQ,Falso,2025-10-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT92WSvk1knL55RaG4z642eaufRYocMDJqxBEi1qeaVHppRgdjZ,"['Eduardo Bolsonaro', 'Estados Unidos', 'Congresso Nacional']"
Rodrigo Constantino anunciou que Eduardo Bolsonaro foi convidado a depor no Congresso americano,Aos Fatos,https://www.aosfatos.org/noticias/eduardo-bolsonaro-nao-foi-convidado-depor-congresso-americano/,falso,2025-09-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSFUuTKI5nOLQCtXoZiqbgsrtMAabMc5MxWbuP93b9MwBOt1JZ2,"['Eduardo Bolsonaro', 'Rodrigo Constantino', 'Congresso Nacional', 'Estados Unidos']"
Indígenas caminhando em direção ao Congresso protestando contra Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.69GP966,Falso,2025-08-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA0apQ3a3PKnZdKfW6Dbb8zl85A1XhyJ0RZXsmx_nrANGHGX9R,"['Indígenas', 'Luiz Inácio Lula da Silva', 'Congresso Nacional']"
"“Congresso inimigo do povo” e entoam gritos de “Hugo Motta, traidor”.",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/07/07/video-usa-ia-para-simular-protesto-contra-hugo-motta.htm,Falso,2025-07-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrgtnRpHN1SLS3tl0Ogx9aYf1CDJF6Az_EmKykQ868HM00_LLA,"['Hugo Motta', 'Congresso Nacional', 'Traição', 'Inimigo do povo']"
Manifestantes protestam contra o Congresso Nacional e o presidente da Câmara Hugo Motta,Estadão,https://www.estadao.com.br/estadao-verifica/protesto-contra-hugo-motta-falso/,Falso,2025-07-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2M_JqLDGp8RKB68Uc3uJf0b1xlNYKNXJOkxuWfEFopaNOtGk5,"['Hugo Motta', 'Presidente da Câmara dos Deputados do Brasil', 'Congresso Nacional', 'Presidente', 'Manifestação', 'Câmara dos Deputados, Brasil']"
Vídeos mostram protestos contra o Congresso e Hugo Motta,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-usa-ia-para-simular-protesto-contra-hugo-motta/,Falso,2025-07-04 07:00:00,,"['Hugo Motta', 'Protesto', 'Vídeo', 'Congresso Nacional']"
"Em 2006, militantes de vermelho invadiram o Congresso, quebraram tudo e um juiz decidiu que era ""liberdade de expressão""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/04/10/post-engana-ao-comparar-8-de-janeiro-a-invasao-da-camara-pelo-mlst-em-2006.htm,Distorcido,2025-04-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSgdo1vjVVR56GKzKjVOj6vJVMduauiG4M6-sYNQ2AwSytFPc6c,"['Congresso Nacional', '2006', 'Liberdade de expressão', 'Juiz']"
"Invasão no Congresso de 2006 foi considerada ""liberdade de expressão""",Estadão,https://www.estadao.com.br/estadao-verifica/protesto-2006-congresso-liberdade-de-expressao-8-de-janeiro/,Enganoso,2025-04-07 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg5lAui5jXlEsv915vCq6Vi4kW2Xo4-EOUfIBpd_DXKP_NBvBK,"['Congresso Nacional', 'Liberdade de expressão', 'Liberdade', '2006', 'Invasão']"
