Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"""AQUI É BOLSONARO!"" Foi com essa frase, aos gritos de uma multidão em Copacabana, que Shakira teria protagonizado um dos momentos mais explosivos da história dos shows no Brasil. Enquanto a plateia ia ao delírio, bastidores ferviam com tentativas de interrupção e revolta de setores da mídia.",Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-bolsonaro-em-concerto-em-copacabana/,Errado,2026-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Shakira', 'Jair Bolsonaro', 'Copacabana', 'Espetáculo', 'Eduardo Bolsonaro', 'Brasil', 'História', 'Inteligência artificial']"
Eduardo Bolsonaro divulga nota de pesar após Trump receber Lula na Casa Branca,Estadão,https://www.estadao.com.br/estadao-verifica/eduardo-bolsonaro-encontro-donald-trump-lula-casa-branca/,Fora de contexto,2026-05-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQQ-XLJu2rNQC_dod4glcp9SythJ5q8BDFIVnZ87lqLTXm9FhUI,"['Eduardo Bolsonaro', 'Luiz Inácio Lula da Silva', 'Donald Trump', 'Casa Branca']"
PF conclui que troca de mensagens entre Flávio Bolsonaro e Vorcaro não apresenta indícios de crime,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3LY39F,Falso,2026-05-21 15:25:08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlO6RoW2z32_Dk635rLLieEyAFIK63g-rn264rf9cUi1BPcAky,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Crime', 'Mensagem']"
Polícia Federal concluí que troca de mensagens entre Flávio Bolsonaro e Daniel Vorcaro não apresenta indícios de crime,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/19/falso-pf-conclusao-audio-crime-flavio-bolsonaro-daniel-vorcaro.ghtm,Falso,2026-05-19 19:17:46,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRK-FETjK-fbYUGQBh4yofNLoccZbd8FCJEOLUZEOKrSuUMVx-3,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Crime', 'Polícia', 'Mensagem']"
PF concluiu que troca de mensagens entre Flávio e Vorcaro não configura crime,Aos Fatos,https://www.aosfatos.org/noticias/pf-crime-mensagens-flavio-vorcaro/,falso,2026-05-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSIDSt_dttVBuThG5yN2urz-NN9QpXmudTiwrQ12icXvu8HijzM,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Crime', 'Mensagem']"
"Paulo Guedes diz que Bolsonaro não mandava na presidência e dependia dos filhos Eduardo e Flávio para aprovar tudo. Guedes diz que “cansava de reclamar que os filhos queriam colocar o dinheiro dos negócios junto com o Queiroz no orçamento secreto, sendo que o presidente Bolsonaro não sabia de nada”.",Estadão,https://www.estadao.com.br/estadao-verifica/video-paulo-guedes-filhos-bolsonaro-mandavam-presidencia-ia-falso/,Falso,2026-04-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTsMbeP_lcBBjzgp7kgFurAPwZarSUpnc7HNNijYP3KAT-9XM8K,"['Jair Bolsonaro', 'Paulo Guedes', 'Flávio Bolsonaro', 'Orçamento secreto', 'Presidente do Brasil', 'Presidente', 'Eduardo Bolsonaro', 'Negócios']"
Flávio e Eduardo Bolsonaro pedem doações para custear processo do pai,Aos Fatos,https://www.aosfatos.org/noticias/golpistas-manipulam-videos-familia-bolsonaro-ia-campanha-arrecadacao-falsa/,falso,2025-11-28 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR66WuIHaupbCU5_9EiM3Hglkrh3egiBfV3KEtQoh5yqzZ2pVbY,"['Flávio Bolsonaro', 'Eduardo Bolsonaro', 'Pai', 'Doação']"
Vaquinha para custear todos os processos de Jair Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/01/falso-video-eduardo-bolsonaro-vaquinha-ajuda-jair-golpe.htm,Falso,2025-12-01 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRcQaaeTzPvaPJahLerB_nQ8vpV_VPaVGlhmPISpaLSnLif6zac,"['Jair Bolsonaro', 'Financiamento coletivo']"
Urgente Congresso americano convidou o Eduardo Bolsonaro pra depor,AFP Checamos,https://checamos.afp.com/doc.afp.com.77E68CQ,Falso,2025-10-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT92WSvk1knL55RaG4z642eaufRYocMDJqxBEi1qeaVHppRgdjZ,"['Eduardo Bolsonaro', 'Estados Unidos', 'Congresso Nacional']"
Rodrigo Constantino anunciou que Eduardo Bolsonaro foi convidado a depor no Congresso americano,Aos Fatos,https://www.aosfatos.org/noticias/eduardo-bolsonaro-nao-foi-convidado-depor-congresso-americano/,falso,2025-09-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSFUuTKI5nOLQCtXoZiqbgsrtMAabMc5MxWbuP93b9MwBOt1JZ2,"['Eduardo Bolsonaro', 'Rodrigo Constantino', 'Congresso Nacional', 'Estados Unidos']"
