Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Multidão cerca a Suprema Corte do Estados Unidos exigindo um resultado ""justo"" para as eleições presidenciais",AFP Checamos,https://checamos.afp.com/foto-de-multidao-e-de-protesto-contra-armas-de-fogo-em-2018-nao-de-ato-favor-de-trump,Falso,2020-12-17 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcScRDH8z_cSqLyPBv-dJRXhPFsj9yveQ0xoRBQQgty7XP969yjV,"['Presidente', 'Edifício da Suprema Corte dos Estados Unidos', 'Estados Unidos', 'Eleição', 'Eleições presidenciais']"
"Publicações no Twitter e no Instagram de uma denúncia sem provas feita em um programa da Fox News, canal de notícias estadunidense. Nas postagens, alega-se que o jornalista Matthew Tyrmand demonstrou, na transmissão, provas da intervenção do governo de Joe Biden, presidente dos Estados Unidos, no processo eleitoral brasileiro em 2022.",Folha - UOL,https://www1.folha.uol.com.br/poder/2022/11/e-falso-que-jornalista-americano-tenha-provado-influencia-de-biden-na-eleicao-brasileira.shtml,Falso,2022-11-05 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT0E9NOzRcjrByKp-YPr_PUgDbQXINTl9Bq3W-4x8RuCl-yEc74,"['Joe Biden', 'Eleição', 'Notícia', 'Estados Unidos', 'Jornalista', 'Presidente dos Estados Unidos', 'Presidente', '2022']"
Bolsonaro ficou sem nenhum voto durante uma hora no primeiro turno das Eleiçòes 2022,Aos Fatos,https://www.aosfatos.org/noticias/falso-hackers-russos-tse/,falso,2022-10-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQY2Rb-lDr_HPfW-TcWGyLZ_rCmAlw6YRmU6BZM2Y0DAoBZ3ZF8,"['Eleição', 'Votação', 'Jair Bolsonaro', '2022']"
"Deputada federal do PSOL TALíRIA PETRONE eleita pelos cariocas e fluminenses, afirmou em sessão na Câmara dos deputados que ""OS POLICIAIS NÃO FAZEM MAIS QUE OBRIGAÇÃO MORRER EM COMBATE CONTRA O CRIME ORGANIZADO, POIS ELES SÃO PAGOS PARA ISSO, MORRER"". Este é o nível das pessoas que os cariocas tem dado poder nas últimas décadas. É esse povo que quer vir como candidato a prefeito nas eleições, nojo.",Aos Fatos,https://www.aosfatos.org/noticias/deputada-do-psol-nao-disse-que-policiais-sao-pagos-para-morrer/,falso,2019-08-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRLN58Dg3RG40hCjJ9NL4CIUhlhgxUiTcUduy_DTLZLNwV1FLnN,"['Talíria Petrone', 'Deputado', 'Partido Socialismo e Liberdade', 'Polícia', 'Deputado Federal do Brasil', 'Câmara dos Deputados, Brasil', 'Eleição', 'Crime', 'Rio de Janeiro']"
Conseguiram identificar os nomes e votos de 100% dos eleitores,Aos Fatos,https://www.aosfatos.org/noticias/log-urna-nao-identifica-nome-voto/,falso,2022-11-17 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC4FSaTebF6xRfCM_yzbaymIUaLTXfF6E9T3yeLustO1k4J2Y3,"['Votação', 'Eleição']"
"""Auditoria internacional reconheceu que houve fraude nas eleições presidenciais do Brasil de 2022"".",Observador,https://observador.pt/factchecks/fact-check-auditoria-internacional-divulgou-relatorio-com-provas-irrefutaveis-de-fraude-nas-eleicoes-brasileiras/,Errado,2022-11-23 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Eleição', 'Fraude', 'Auditoria', 'Brasil', 'Presidente', 'Eleições presidenciais', '2022']"
Walter Braga Netto afirma que vai haver intervenção militar no segundo turno das eleições de 2022,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/11/voz-em-audio-sobre-intervencao-militar-no-2-turno-nao-e-de-braga-netto.htm,Falso,2022-10-11 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTIi-AX6H6nMs_uUB_3RHWEB4qQVi-IGzL1FLsQgiAzL1ZXMXvQ,"['Braga Netto', 'Intervenção militar constitucional', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
"O Governo tem violado a diretiva comunitária, em especial na parte em que não se deve fazer o transporte no verão e que este não deve exceder as 8 horas.",Observador,https://observador.pt/factchecks/fact-check-o-transporte-de-animais-nao-pode-ultrapassar-as-8-horas/,Enganador,2019-09-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRoicewStSs1cy4LDQcnY2Wp5OA2u5tFKfn-yZrYIyg3cMOM9Cs,"['Transporte', 'Hora', 'Eleição', 'Partido político', 'Campanha eleitoral', 'Diretiva', 'Estupro', 'Verão']"
Em Detroit foi aberto um processo eleitoral por conta de irregularidades de eleitores durante as eleições nos Estados Unidos.,AFP Checamos,https://checamos.afp.com/imagem-com-dados-de-detroit-e-de-dezembro-de-2019-e-nao-tem-relacao-com-eleicao-nos-eua,Falso,2020-11-09 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSLYRVhOsYH6NQrTOgjwAlp3rWqZcvBP2qdfPT6xScvRFY9rnCr,"['Eleição', 'Estados Unidos', 'Detroit']"
"""Foi nessa de ‘não vou votar em ninguém’, que a direita entregou o Chile para os comunistas, pois eles, os comunistas, votaram em massa. Qual foi o resultado de ‘não vou votar em ninguém’? Houve 53% de abstenções nas eleições do Chile. A direita não foi votar. A esquerda agradece, otários.""",Observador,https://observador.pt/factchecks/fact-check-abstencao-de-53-entregou-vitoria-nas-presidenciais-chilenas-a-candidato-da-esquerda/,Errado,2022-01-09 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRmwyRgtQB5AOIdWaxo3TmQ8QwksKz6Zcc7lC8rr_I6fGE9p6q,"['Abstenção', 'Eleição', 'Votação', 'Direita', 'Chile']"
