Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Haddad ganhará no primeiro turno em SP segundo a pesquisa AtlasIntel,AFP Checamos,https://checamos.afp.com/doc.afp.com.A83P9ZQ,Enganoso,2026-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7zd6N0Y8zAZaa4LPN9shvavdsW0jPd1j1e0ktLwwwNS2pKW2B,"['Fernando Haddad', 'AtlasIntel', 'Pesquisa', 'São Paulo']"
Haddad diz que gosta de taxar os pobres,AFP Checamos,https://checamos.afp.com/doc.afp.com.99L49T3,Falso,2026-03-02 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlPuctTZEQGCTb6x8BexwzI-FIFn01RbNYErQhLtk1srYRb4PB,"['Fernando Haddad', 'Taxa', 'Pobreza']"
"LULINHA & VEJA LANÇADA ONTEM EM SP VAI QUEBRAR O PAU: O desespero do presidiário Lula, seus filhos que nunca trabalharam , Haddad, Guilherme Boulos, Marina, Ciro, Suplicy e diversos amigos do Lula estão desesperados com a verdade que veio à tona. Vai ser publicada na VEJA desse final de semana a RIQUEZA do LULINHA. Sócio majoritário dos Frigoríficos JBS (Friboi), SÓCIO majoritário da Telefonia OI, Proprietário de SEIS Fazendas que somadas dão um total de 1.400.000 hectares . Criador de mais de 500.000 cabeças de GADO no Estado do PARÁ. Sócio majoritário da cooperativa de Frigoríficos em Gurupi-TO . Cooperfrigu, este Frigorifico exporta cocaína para toda Europa .",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/27/falso-lulinha-dono-jbs-oi-fazendas-500-mil-bois.htm,Falso,2026-02-27 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7Sr-p4zsl0w_oU0cY2QUpzThHBC1gpcNa35dQHZ8XPCZqpZrd,"['Fábio Luís Lula da Silva', 'Veja', 'Luiz Inácio Lula da Silva', 'Fernando Haddad', 'Guilherme Boulos', 'São Paulo', 'Tocantins']"
"Ache uma foto do Haddad com o CEO do Banco Master. Não achou? E do Zema, Tarcisio, Caiado, Castro, Jorginho, Ratinho Jr tem?",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/05/e-montagem-foto-do-dono-do-banco-master-com-governadores.htm,Falso,2025-12-05 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtU4XMCJDxyeogoBLkQk3xdv7RSbdzyT_bdy7A9mgKSjJB_YzB,"['Banco Master', 'Fotografia', 'Tarcísio de Freitas', 'Ronaldo Caiado', 'Romeu Zema', 'Fernando Haddad', 'Ratinho Júnior', 'Banco', 'Diretor executivo']"
Fernando Haddad criou o Enem,Aos Fatos,https://www.aosfatos.org/noticias/haddad-reformulou-o-enem-mas-exame-foi-criado-pelo-governo-fhc/,não_é_bem_assim,2025-11-19 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT9VsZw0vganDtY_Aomys0g6cXpB5lEuW3uimvTLAbXouAJ8DXy,"['Fernando Haddad', 'Exame Nacional do Ensino Médio (ENEM)']"
"Haddad é responsável por taxação de 27,5% do fisiculturista Ramon Dino",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2025/10/22/imposto-sobre-premio-de-ramon-dino-e-retido-nos-eua-e-compensado-no-brasil.htm,Enganoso,2025-10-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTJHtQrsRZg5NkBaysFb6ixExARu_RP8raapZOEbPPZF1zvRBP5,"['Ramon Dino', 'Fernando Haddad', 'Taxa', 'Fisiculturismo']"
Ministro Fernando Haddad afirmou que taxará tudo e que tem muita gente para comprar apoio,Estadão,https://www.estadao.com.br/estadao-verifica/audio-haddad-taxar-tudo-comprar-apoio-falso/,Falso,2025-10-17 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSogZvz6LZyFgcYhyXU2A-o-XoaIQ8jv26zg18o1G1lNtVuffXH,"['Fernando Haddad', 'Ministro']"
Fernando Haddad disse que Bolsonaro criou poucos impostos,Estadão,https://www.estadao.com.br/estadao-verifica/haddad-diz-bolsonaro-cobrou-pouco-imposto/,Enganoso,2025-10-16 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSgjsae5qKyGuQEEajBOo5oe_EhxJt518lCyUKjs0m5PeevNOxV,"['Fernando Haddad', 'Imposto', 'Jair Bolsonaro']"
Haddad diz que Bolsonaro cobrou poucos impostos,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/videos-tiram-de-contexto-fala-de-haddad-sobre-tributacao-das-apostas-online/,Falta contexto,2025-10-15 07:00:00,,"['Fernando Haddad', 'Imposto', 'Jair Bolsonaro']"
Haddad reclama que Bolsonaro cobrava poucos impostos do povo,AFP Checamos,https://checamos.afp.com/doc.afp.com.78TV9WJ,Falso,2025-10-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLXPMInJ6BLThcLCRRgUBtGACs4hLRj6CYqxvaqY5Fbub93c6h,"['Fernando Haddad', 'Imposto', 'Jair Bolsonaro']"
