Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Malafaia detona Flávio Bolsonaro e filme Dark Horse após divulgação de áudios com Vorcaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3ZB4CQ,Falso,2026-05-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRQwbm68USUk5Rks2ch-xNOCR3JMvftzFkGAD8i5BFJSxGjCarW,"['Flávio Bolsonaro', 'Silas Malafaia', 'Daniel Vorcaro', 'Filme', 'Dark Horse']"
Silas Malafaia ‘detona’ Flávio Bolsonaro e cinebiografia de ex-presidente em vídeo,Aos Fatos,https://www.aosfatos.org/noticias/malafaia-flavio-bolsonaro-dark-horse/,falso,2026-05-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSJJfkIa-1nGs57e_cIsLx3cuyhlNSG8CaP4prow95FdYLqa5rf,"['Flávio Bolsonaro', 'Silas Malafaia', 'Vídeo', 'Presidente', 'Biográfico']"
Flávio Bolsonaro vai acabar com o Bolsa Família e retornar com o Auxílio Brasil de R$ 1.200,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-bolsa-familia/,falso,2026-05-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNF9zuOsQQqmY-UFtBq7_xm7UBziHZzFzNKl3WI0rGdP3k-G5_,"['Flávio Bolsonaro', 'Bolsa Família', 'Auxílio Brasil']"
Silas Malafaia detona e mostra que já soltou a mão de Flávio Bolsonaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/21/enganoso-video-silas-malafaia-critica-flavio-bolsonaro-filme.amp.htm,Distorcido,2026-05-21 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-tBIldDAQaV9pl4EA-yQyY5OeJYk2Fwt6X7tXGm4_Ji6DPBK-,"['Silas Malafaia', 'Flávio Bolsonaro', 'Jair Bolsonaro']"
PF conclui que troca de mensagens entre Flávio Bolsonaro e Vorcaro não apresenta indícios de crime,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3LY39F,Falso,2026-05-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlO6RoW2z32_Dk635rLLieEyAFIK63g-rn264rf9cUi1BPcAky,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Crime', 'Mensagem']"
The Intercept Brasil pediu desculpas por falta de provas em matéria sobre Flávio Bolsonaro e Daniel Vorcaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3DX663,Falso,2026-05-19 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb0cPXWwu0nJA3TaUzyU-RTZewOTf1R3rM_WcCKjjMZfiaPj2f,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'The Intercept', 'Brasil', 'Matéria']"
Polícia Federal concluí que troca de mensagens entre Flávio Bolsonaro e Daniel Vorcaro não apresenta indícios de crime,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/19/falso-pf-conclusao-audio-crime-flavio-bolsonaro-daniel-vorcaro.ghtm,Falso,2026-05-19 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ_cJI5Qtw5Z59_TvtmqdbAl6NpYiKz2HURWd6sNNkko6SeLsU,"['Daniel Vorcaro', 'Flávio Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Crime', 'Polícia', 'Mensagem']"
PF concluiu que troca de mensagens entre Flávio e Vorcaro não configura crime,Aos Fatos,https://www.aosfatos.org/noticias/pf-crime-mensagens-flavio-vorcaro/,falso,2026-05-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSIDSt_dttVBuThG5yN2urz-NN9QpXmudTiwrQ12icXvu8HijzM,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Crime', 'Mensagem']"
"""Após ?perseguição? da Anvisa, Flávio tira fotos com produtos Ypê e vendas disparam nos supermercados""",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/17/falso-imagem-flavio-bolsonaro-balde-detergente-ype.ghtm,Falso,2026-05-17 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQcPGeU3axM5d5pltR99H4cqLE39NfRX2CKe9aQX06-eySJeoaZ,"['Flávio Bolsonaro', 'Ypê', 'Fotografia', 'Produto', 'Vendas', 'Supermercado', 'Anvisa', 'Agência Nacional de Vigilância Sanitária']"
Vendas da Ypê dispararam depois de foto de Flávio Bolsonaro com detergentes da marca,Estadão,https://www.estadao.com.br/estadao-verifica/foto-de-flavio-bolsonaro-com-detergentes-ype-foi-gerada-artificialmente/,Falso,2026-05-15 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR45Hq_LGikJ14NT_dn2aKFqss797bSRDwzq0LAfw9uyiZc1Is4,"['Flávio Bolsonaro', 'Ypê', 'Detergente', 'Fotografia', 'Vendas']"
