Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Flávio Dino proíbe que policiais militares inativos portem armas,BOL - UOL,https://www.bol.uol.com.br/noticias/2023/01/26/flavio-dino-decreto-porte-de-armas-falso.htm,Falso,2023-01-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRFEDIFoE0TWUZz3_SWi7osAnK0wXTThladjq6C8aZPakHjfIcj,"['Flávio Dino', 'Arma', 'Polícia', 'Forças armadas', 'Polícia militar', 'Arma de fogo']"
Flávio Dino sugere fechamento do Congresso com apoio do STF,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-dino-fechar-congresso-com-apoio-do-stf/,Falso,2023-05-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQY5bGRIqcOQr2pQeGwbxVsiyd6HxH3xnzmHnizdhXsv88HCFvx,"['Flávio Dino', 'Congresso Nacional', 'Supremo Tribunal Federal']"
Flávio Dino se encontrou com líderes de uma das maiores organizações criminosas do mundo,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/dino-nao-se-reuniu-com-criminosos-ministro-visitou-ong-na-mare-com-escolta/,Enganoso,2023-03-22 07:00:00,,"['Flávio Dino', 'Criminoso', 'Crime organizado', 'Organização']"
"Flávio Dino foi pra lá [Natal (RN)] e liberou 100 milhões de reais para o 'fundo carcerário'. Para melhorar a vida dos prisioneiros, para melhorar pros presidiários. Ou seja, ele foi lá e negociou com o crime organizado",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/03/23/dino-nao-liberou-r-100-milhoes-para-melhorar-a-vida-dos-presidiarios.htm,Falso,2023-03-23 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRGDrX84govXEImMcDE5zWhmJKFIdpRe3sH_OY9uJrjRCrJ5b6,"['Flávio Dino', 'Rio Grande do Norte', 'Vida', 'Crime', 'Crime organizado', 'Natal']"
Flávio Dino proíbe apreensão de drogas pela PRF,Aos Fatos,https://www.aosfatos.org/noticias/falso-flavio-dino-prf-drogas/,falso,2023-03-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTzUQ2_fS9K6CZA65tW6KqDTtsI32GG1tPSGEymifTx2nHs3pmb,"['Flávio Dino', 'Polícia Rodoviária Federal', 'Polícia Rodoviária', 'Droga', 'Confiscação']"
Flávio Dino se encontrou com líderes de facção criminosa no Complexo da Maré,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-dino-mare-faccao-criminosa/,Enganoso,2023-03-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTESujqq64zG5iFF7Uq04GBFWqd2R3nNPW9iGkRoFexfRwAG7Jz,"['Flávio Dino', 'Maré', 'Criminoso']"
Flávio Dino diz que vai usar balas de verdade em manifestantes contrários a Lula,Estadão,https://www.estadao.com.br/estadao-verifica/flavio-dino-abater-manifestantes-balas-de-verdade/,Falso,2023-05-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT-Q3ZfYuCo1fhZkP0K6jOBxt9u_kEpTC2bm8Vk8G2jzx3ynjVC,"['Flávio Dino', 'Manifestação', 'Luiz Inácio Lula da Silva', 'Bala']"
"Flávio Dino disse que a partir de agora, quem for pego com uma arma na rua que não for ladrão, vai ser preso",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/02/13/flavio-dino-nao-disse-que-quem-andar-armado-e-nao-for-ladrao-sera-preso.htm,Falso,2023-02-13 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiAulxPdMyrz2_LDTenqKwEgm9T-_6ns3x2Xr_Z3ggpoPqM4W2,"['Flávio Dino', 'Arma', 'Prisão']"
Flávio Dino participa de aglomeração e não usa máscara,Aos Fatos,https://www.aosfatos.org/noticias/video-que-mostra-flavio-dino-sem-mascara-em-aglomeracao-e-de-2019-nao-atual/,falso,2021-06-11 07:00:00,,['Flávio Dino']
"Criar o programa permanente de valorização da docência, com a redefinição de faixas salariais para cada nível da carreira e os critérios de avanço mediante cursos de qualificação e tempo de serviço. Vamos garantir remuneração adequada para os professores e trabalhadores da Educação da rede estadual.",Aos Fatos,https://www.aosfatos.org/noticias/governo-do-ma-cumpre-apenas-em-parte-promessa-de-valorizar-professores/,exagerado,2018-04-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRavovZk3oiWrozCks5oCg8Z3MQ8R-u9SK7qsBaq4-cxgARYiQj,"['Professor', 'Educação', 'Tempo', 'Salário', 'curso', 'Trabalhador', 'Serviço']"
