Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Não foi aprovado nossos bens e heranças como patrimônio do governo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/08/08/checagem-projeto-de-lei-confisco.htm,Falso,2023-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSFjMVoklTl6CUUtQgVGXRtGN2-oZ6EzXzJ0IcEAXBLudYAm_Xm,"['Bem', 'Governo', 'Patrimônio', 'Herança']"
Brasil vai virar a Argentina e Lula já transforma superávit de Jair Bolsonaro em déficit,Estadão,https://www.estadao.com.br/estadao-verifica/video-compara-dados-diferentes-e-engana-sobre-deficit-das-contas-publicas/,Enganoso,2023-08-31 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSC0P4Tv8bMQT2dheVAv3xM8TNr__0qBohX7X9bNw_R4kcu9QQN,"['Jair Bolsonaro', 'Superávite', 'Défice público', 'Luiz Inácio Lula da Silva', 'Brasil']"
Cortes no orçamento do governo,Estadão,https://www.estadao.com.br/estadao-verifica/contingenciamento-recursos-federais-corte-verbas/,Fora de contexto,2023-08-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRhf4tF4yjb_g6jXnrwIFh7qBem9HXC5QrXf9EKQQ65nh-tEak8,"['Orçamento', 'Governo', 'Orçamento de Estado']"
"Governo Lula cortou R$ 1,5 bilhão na Saúde e na Educação",Aos Fatos,https://www.aosfatos.org/noticias/governo-lula-bloqueou-orcamento-saude-educacao/,não_é_bem_assim,2023-08-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTnbO0H88yBHSu5GRIpx8f5K_08AKow5_Stx_PQTGCkvgjvT_-K,"['Luiz Inácio Lula da Silva', 'Governo', 'Governo Lula', 'Educação', 'Saúde', 'Um bilhão']"
"Governo corta mais de 1 bilhão, inclusive de saúde e educação",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/decreto-com-contingenciamento-de-recursos-federais-nao-determina-corte-de-verbas/,"CONTEXTUALIZANDO: O termo corte se refere a uma retirada definitiva das verbas. A ação foi um bloqueio, que pode ser temporário ou não.",2023-08-03 07:00:00,,"['Governo', 'Saúde', 'Um bilhão', 'Educação']"
"""Moraes dá 5 dias para Bolsonaro e governantes se manifestarem sobre população de rua”, “Moraes dá 120 dias para governo federal fazer diagnóstico da população em situação de rua”. O post é acompanhado por um emoji de um rosto pensativo.",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2023/08/02/post-faz-falsa-equivalencia-entre-decisoes-de-moraes.htm,Enganoso,2023-08-02 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTnGmpOyopw1Pfv1vS0wMUxAp3RGY0zbn1CuHdJ8YAHkygbcuMU,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Governo', 'Dia', 'Sem-teto', 'População', 'Diagnóstico', 'Emoji']"
Governo da Flórida declarou vacina contra a covid-19 como arma biológica,AFP Checamos,https://checamos.afp.com/doc.afp.com.33PY7K4,Enganoso,2023-07-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfpCdbRDhV8jtDg-6xGaiE0qB3AwUuvKksWRV3KG9anH1Y14X-,"['Vacina', 'Vacina contra COVID-19', 'COVID-19', 'arma biológica', 'Flórida', 'Arma', 'Biologia', 'Governo']"
"Saiu uma lista de CPFs que vão receber R$ 7,1 mil do Bolsa Família.",Estadão,https://www.estadao.com.br/estadao-verifica/lista-cpfs-7100-bolsa-familia-dezembro/,Falso,2023-08-17 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSfd8B8gVdI_X15DWn_Jvrp2ONqY3V6NzXjeVobkUuKk_c7ePjp,"['Bolsa Família', 'Cadastro de Pessoas Físicas', 'R7']"
Governo Lula acabou com a aposentadoria por tempo de contribuição,Aos Fatos,https://www.aosfatos.org/noticias/falso-governo-lula-fim-aposentadoria-tempo-de-contribuicao/,falso,2023-07-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR54MRXYZuGNmUtajfEipj_Li7tn86Vl1KNlG15AHv-z72-heE6,"['Luiz Inácio Lula da Silva', 'Aposentadoria', 'Aposentadoria por tempo de contribuição', 'Governo', 'Governo Lula']"
Governo Lula manda PRF apreender todos os pneus importados,Aos Fatos,https://www.aosfatos.org/noticias/falso-governo-lula-prf-apreensao-pneus-importados/,falso,2023-07-07 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-HqG4Q8f6ltdb-pCjgJJEUvRdCWa0ii5_kVTTOszsejOh_w6A,"['Luiz Inácio Lula da Silva', 'Polícia Rodoviária', 'Polícia Rodoviária Federal', 'Pneu', 'Governo', 'Importação', 'Governo Lula']"
