Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Boulos diz que governo vai taxar os entregadores,AFP Checamos,https://checamos.afp.com/doc.afp.com.A37Q49E,Enganoso,2026-03-13 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcThuZKlwvs1f9L51oVRM88T_-Bq2xW_EQMRGZp8lHXZzuV-Daws,"['Guilherme Boulos', 'Taxa', 'Entregador', 'Governo']"
"LULINHA & VEJA LANÇADA ONTEM EM SP VAI QUEBRAR O PAU: O desespero do presidiário Lula, seus filhos que nunca trabalharam , Haddad, Guilherme Boulos, Marina, Ciro, Suplicy e diversos amigos do Lula estão desesperados com a verdade que veio à tona. Vai ser publicada na VEJA desse final de semana a RIQUEZA do LULINHA. Sócio majoritário dos Frigoríficos JBS (Friboi), SÓCIO majoritário da Telefonia OI, Proprietário de SEIS Fazendas que somadas dão um total de 1.400.000 hectares . Criador de mais de 500.000 cabeças de GADO no Estado do PARÁ. Sócio majoritário da cooperativa de Frigoríficos em Gurupi-TO . Cooperfrigu, este Frigorifico exporta cocaína para toda Europa .",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/27/falso-lulinha-dono-jbs-oi-fazendas-500-mil-bois.htm,Falso,2026-02-27 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7Sr-p4zsl0w_oU0cY2QUpzThHBC1gpcNa35dQHZ8XPCZqpZrd,"['Fábio Luís Lula da Silva', 'Veja', 'Luiz Inácio Lula da Silva', 'Fernando Haddad', 'Guilherme Boulos', 'São Paulo', 'Tocantins']"
Foto mostra Boulos invadindo sede da Fiesp com o MTST em 2016,Aos Fatos,https://www.aosfatos.org/noticias/posts-tiram-foto-de-contexto-para-associar-boulos-a-depredacao-da-fiesp-em-2016/,falso,2025-10-22 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRy-guFa8L7qSWc28RlGrdH1y7Qj_3GcHbmu6l_R1UYC1tq8YeA,"['Guilherme Boulos', 'Federação das Indústrias do Estado de São Paulo', 'Movimento dos Trabalhadores Sem-Teto', 'Fotografia', '2016']"
Ato convocado por movimentos de esquerda teve baixa adesão do público,Estadão,https://www.estadao.com.br/estadao-verifica/manifestacao-boulos-paulista-esvaziada/,Fora de contexto,2025-07-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTZNexTZhpeEB5a3Y5IAPMTXszXNhGm3C0UW6-nKwCGzAeDiC04,['Esquerda']
"Após derrota de Boulos, militantes do MST começam série de invasões na Grande São Paulo",UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/11/01/ocupacoes-em-sao-paulo-nao-tiveram-relacao-com-resultado-das-eleicoes.htm,Enganoso,2024-11-01 07:00:00,,"['Guilherme Boulos', 'São Paulo', 'Movimento dos Trabalhadores Rurais sem Terra', 'Região Metropolitana de São Paulo']"
Lula desistiu de ir a São Paulo para não votar em Boulos,AFP Checamos,https://checamos.afp.com/doc.afp.com.36L97EN,Enganoso,2024-10-30 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJk8Myyj0V1qQqXKtJzHULRPbaaZKJhEElh2qqHG8nzFOMIkRu,"['Luiz Inácio Lula da Silva', 'Votação', 'Guilherme Boulos', 'São Paulo']"
Alexandre de Moraes vota em Boulos em São Paulo,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-moraes-vota-em-boulos-sao-paulo-falso/,Falso,2024-10-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQd5EnbvLv5ALt5x74n7xzgB_EZKJE7d9qwQScQ6Yvmn0IJAZPf,"['Guilherme Boulos', 'Alexandre de Moraes', 'Votação', 'São Paulo']"
"“Ele [Guilherme Boulos] falou aqui, gente, infelizmente, mais uma inverdade: que eu dei o negócio do transporte aquático para Transwolff. Quem opera, quem opera, é a Prefeitura de São Paulo, é a SPTrans.”",Aos Fatos,https://www.aosfatos.org/noticias/o-que-checamos-ricardo-nunes-reeleito-prefeitura-sp/,não_é_bem_assim,2024-10-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT4DaVWU1ULsY5BnkSwzKxsigZanq-qIo8GCsONNWaasQ3ph-XM,"['Guilherme Boulos', 'Prefeitura de São Paulo', 'São Paulo', 'SPTrans', 'São Paulo Transporte', 'Negócios', 'falsidade', 'Transporte', 'Transporte hidroviário']"
Guilherme Boulos vai incluir linguagem neutra nas escolas caso eleito,Estadão,https://www.estadao.com.br/estadao-verifica/boulos-linguagem-neutra-escolas-falso/,Falso,2024-10-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTMfnRF-apT2DDTpw_xT3hd9jcZZErGJPxVdoeh7pRff6p-FomQ,"['Guilherme Boulos', 'Linguagem neutra de gêneros gramaticais', 'Eleição', 'Linguagem', 'Escola']"
Lula desiste de ir para São Paulo e não votará em Boulos no segundo turno,Estadão,https://www.estadao.com.br/estadao-verifica/lula-desiste-boulos-sao-paulo-enganoso/,Enganoso,2024-10-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTFzERnn08f6xObmnbI8zLyHB-kzrD_lPK0K4jUKjN3A8wGGEQr,"['Luiz Inácio Lula da Silva', 'Guilherme Boulos', 'São Paulo']"
