Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Jair Messias Bolsonaro passou mal e desmaiou na cadeia. Quando chegou ao hospital, os funcionários receberam o capitão orando pela sua vida e saúde. Que o mal que está a ser praticado contra Bolsonaro volte em dobro para quem é culpado desta perseguição e tirania. Em nome de Jesus a justiça virá.",Observador,https://observador.pt/factchecks/fact-check-video-mostra-jair-bolsonaro-no-hospital-depois-de-ter-desmaiado-na-prisao/,Errado,2026-01-14 08:00:00,,"['Jair Bolsonaro', 'Hospital', 'Oração', 'Prisão', 'Síncope', 'Saúde', 'Mal', 'Justiça']"
"Advogados do ex-presidente Jair Bolsonaro alegam Alzheimer para tentar o ""Mito"" em prisão domiciliar.",Observador,https://observador.pt/factchecks/fact-check-defesa-de-jair-bolsonaro-alegou-que-o-ex-presidente-tem-alzheimer/,Errado,2025-12-29 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT2cAc_FkeoB3Xu9QtmTLoD0HX9vIxYwAaLxriPkUnMQlofKg_y,"['Jair Bolsonaro', 'Doença de Alzheimer', 'Presidente', 'Prisão domiciliar', 'Prisão', 'Advogado']"
Bolsonaro alegou ter Alzheimer em pedido de prisão domiciliar,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-bolsonaro-alegou-ter-alzheimer-em-pedido-de-prisao-domiciliar/,falso,2025-12-18 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSjWa5QPmziSs2dqPyuRQgPeNLz2bdten3WrlTOhVdV6N1tvxLz,"['Jair Bolsonaro', 'Prisão domiciliar', 'Doença de Alzheimer', 'Prisão']"
Vídeo mostra Bolsonaro deixando hospital em 12 de dezembro após ser curado de câncer,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-hospital-cirurgia/,Enganoso,2025-12-16 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRMmSHtOoPEdOXq10NWxFq-deMnJNgfQUVgoDjBGTuFxP8NfRgk,"['Jair Bolsonaro', 'Hospital', 'Vídeo', 'Câncer', 'Dezembro']"
"Carlos Bolsonaro publicou vídeo de Jair Bolsonaro, gravado na cela da superintendência da Polícia Federal, em Brasília",Aos Fatos,https://www.aosfatos.org/noticias/video-bolsonaro-solucos-antigo-nao-gravado-sala-pf/,falso,2025-12-15 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTW-gXpGitgJHFFkkpSvbl6eOG2sRElA8-0DWfUpQtjQgZTT14S,"['Jair Bolsonaro', 'Carlos Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Vídeo', 'Polícia', 'Brasília', 'Cela']"
Vídeo mostra Bolsonaro recebendo alta no dia 11/12 após ser hospitalizado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-nao-foi-para-hospital-nem-recebeu-alta-no-dia-11-de-dezembro/,falso,2025-12-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTlLHsL278v0Mgg59oItgo2jCpmjraodGDGVj5rQsA2NltJSsy_,"['Jair Bolsonaro', 'Dia', 'Hospitalização', 'Vídeo']"
Bolsonaro passou mal na prisão e foi levado às pressas ao hospital nesta quinta (11),Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-hospital-11-dezembro-2025/,falso,2025-12-12 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRVnE6ie13wMapu_mgc8MtOM1vCXiYqR-5BZK3323uV5vIXyy54,"['Jair Bolsonaro', 'Hospital', 'Prisão']"
Protesto contra a prisão de Bolsonaro.,Observador,https://observador.pt/factchecks/fact-check-video-mostra-protesto-contra-prisao-do-ex-presidente-brasileiro-jair-bolsonaro/,Errado,2025-12-11 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTbc1oYGE0Iz78orV5bXwaLEK86f414nIGoRUWjHL3RAEWA8idc,"['Jair Bolsonaro', 'Protesto', 'Prisão de Jair Bolsonaro', 'Prisão']"
MPF disse que não existe prova de corrupção no governo Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/mpf-corrupcao-governo-bolsonaro/,Enganoso,2025-12-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyiduvX0AtdznZORQoD6aq-Arz6NKDYcTTntU-5Kv9sfocgm0X,"['Jair Bolsonaro', 'Corrupção', 'Ministério Público Federal', 'Ministério Público Federal', 'Governo', 'Prova']"
Ministro Luiz Fux diz que Bolsonaro vai ser volto e será candidato à Presidência,Estadão,https://www.estadao.com.br/estadao-verifica/fux-bolsonaro-vai-ser-solto-e-sera-candidato-presidencia-falso-ia/,Falso,2025-12-04 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXnA6iMdB-8aTAXox9CNht4e8zTxhvw94TwjVzUV8blRUEpDcK,"['Jair Bolsonaro', 'Luiz Fux', 'Presidente do Brasil', 'Ministro', 'Candidato']"
