Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Lula usou R$ 12,4 bilhões no cartão corporativo e Bolsonaro R$ 27,6 milhões",AFP Checamos,https://checamos.afp.com/doc.afp.com.992Y7KE,Falso,2026-02-26 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQtX5AjB155O9S5vUjQq34TsuRYMewCjj6itYkTggS2O1yCT2O5,"['Luiz Inácio Lula da Silva', 'Cartão de visita', 'Jair Bolsonaro', 'Um bilhão', 'Michelle Bolsonaro', '2027']"
"Governo Lula gastou R$ 1,4 bilhão em cartão corporativo e Bolsonaro, R$ 27 milhões",Estadão,https://www.estadao.com.br/estadao-verifica/gastos-cartao-corporativo-lula-bolsonaro/,Enganoso,2026-02-26 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR3RLJ4AN3FnMhZ5ROMPHE7UxjX2_qQS0QXh2kye0pHMQQJZMHj,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Cartão de visita', 'Governo Lula', 'Um bilhão', '2027']"
Vazam áudios de Lula com ordem para barrar investigação do Banco Master,Estadão,https://www.estadao.com.br/estadao-verifica/revista-oeste-audio-lula-banco-master-falso/,Falso,2026-02-25 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRm6FG3NFcXMr5KzhhoDMoBqh34TmBxSmSaQmyFgNeVHJ3qEEl2,"['Luiz Inácio Lula da Silva', 'Pesquisa', 'Banco Master', 'Banco']"
"Lula mandou retirar por medo das vaias, e não resolveu...",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/02/25/falso-lula-mandou-retirar-publico-carnaval-vaias.htm,Falso,2026-02-25 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTRZB72rX5dbO60l-ihFEX754QdHIfHExYC1N67r0Ghav-hCxSi,"['Luiz Inácio Lula da Silva', 'Vaia', 'Medo']"
"Lula usou R$ 1,4 bilhão no cartão corporativo e Bolsonaro R$ 41,2 milhões",AFP Checamos,https://checamos.afp.com/doc.afp.com.98XY4WG,Enganoso,2026-02-25 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYvI5vBqEBZiyrM4uZuJAbzFj6BdRpa9iBCcnL11hn57kifswn,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Cartão de visita', 'Um bilhão']"
Fila de pessoas em busca de gás no governo Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.98TX3T4,Enganoso,2026-02-24 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-CJxyDgekxdCVUhto8pprzGiZbZYzKPTw1XtZibZC2QB75fT2,"['Gás', 'Luiz Inácio Lula da Silva', 'Governo']"
"Lula gastou R$ 1,4 bi no cartão corporativo e Bolsonaro apenas R$ 27 milhões",Aos Fatos,https://www.aosfatos.org/noticias/posts-enganam-ao-comparar-gastos-de-cartao-corporativo-de-lula-e-bolsonaro/,falso,2026-02-24 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKTyosxEooqGCCdT4GHmMk-LUO6ls2ZJeMozCTg8Y6xjVxe696,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Cartão de visita', '2027']"
Lula da silva interrompido por estar totalmente confuso e bêbedo em público,Observador,https://observador.pt/factchecks/fact-check-lula-da-silva-discursou-embriagado-no-panama-e-acabou-a-ser-interrompido/,Errado,,,"['Luiz Inácio Lula da Silva', 'Público']"
Lula manda evacuar arquibancada com medo de vaias,AFP Checamos,https://checamos.afp.com/doc.afp.com.98NP2T3,Falso,2026-02-23 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQh3FoauRCPHiPu-7zmNAVUR0XA7eVAqxCzsro1zRwh1NacOBBU,"['Luiz Inácio Lula da Silva', 'Vaia', 'Arquibancada', 'Medo']"
Lula mandou esvaziar arquibancada por medo de ser vaiado no carnaval,Estadão,https://www.estadao.com.br/estadao-verifica/video-mostra-festa-de-carnaval-suspensa-apos-arquibancada-ceder-na-paraiba-nao-ha-relacao-com-lula/,Falso,2026-02-20 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsvPcw3xB5m0vXYB90rp-X7_XWPm-39ZgRFxOv7oeNWlrXFHQj,"['Carnaval', 'Luiz Inácio Lula da Silva', 'Vaia', 'Medo']"
