Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Revista ""Economist"" elegeu Lula como presidente mais corrupto da história?",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2017/08/26/revista-economist-elegeu-lula-como-presidente-mais-corrupto-da-historia.htm,Falso,2017-08-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRakjRSbdja0z7Qh22D-VrgTiZWm97usySwOEmBBymuBPv8_3vj,"['Luiz Inácio Lula da Silva', 'The Economist', 'Presidente', 'Corrupção', 'História', 'Revista']"
"""No nosso governo a gente combateu tanto a corrupção que até eu fui preso""",Observador,https://observador.pt/factchecks/fact-check-lula-disse-o-meu-governo-combateu-tanto-a-corrupcao-que-eu-ate-fui-preso/,Errado,2022-10-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Corrupção', 'Governo', 'Prisão']"
"Você sabe que eu fui condenado e o crime que eu cometi foi ""fato indeterminado"". Esse é o crime que eu cometi: fato indeterminado.",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/06/26/confere-lula-nao-foi-condenado-sem-provas-nem-e-1-presidente-sem-diploma.htm,Falso,2024-06-26 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSIcjgeyyg4SVGCbp3vlqmp2lK0IuS_Xk0qOt4Ivir_eJnD2nhW,"['Sentença', 'Crime', 'Fato']"
Lula abre o jogo e revela q roubou mais de $1.2 trilhões,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/02/21/lula-nao-disse-em-entrevista-que-roubou-r-12-trilhao-em-seus-mandatos.htm,Falso,2024-02-21 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi1FHHY77UTpPb-kYLQuyQKTZCT4SSFlQ0KMzN9CEDVbUSGFfM,['Luiz Inácio Lula da Silva']
"""Lula disse que o governador do Rio não merece estar preso só porque roubou o povo... só porque roubou dinheiro público""",Observador,https://observador.pt/factchecks/fact-check-lula-disse-que-governador-do-rio-nao-merecia-estar-preso-so-por-roubar-o-povo/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Luiz Inácio Lula da Silva', 'Governador', 'O Povo', 'Prisão', 'Público', 'Dinheiro']"
Transparência Internacional apontou Lula como o líder mais corrupto da história,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-transparencia-internacional-apontou-lula-como-o-lider-mais-corrupto-da-historia/,falso,2021-01-26 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg3jS8mBuIFQ-pDEo8Ye6c-T2Hw6KNbBqGPujg0WWkZQp1Kh6F,"['Luiz Inácio Lula da Silva', 'Corrupção', 'Transparência Internacional', 'História', 'Transparência', 'Liderança']"
Trump chama Lula de escândalo ambulante,AFP Checamos,https://checamos.afp.com/doc.afp.com.48YH2TC,Falso,2025-06-02 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRjfdKUYdiWv6DWCGYAtQhxKJyn_cdQk3KZxi2g5aftLIBSpAfl,"['Donald Trump', 'Luiz Inácio Lula da Silva', 'Escândalo']"
Departamento de Justiça dos EUA divulgam ao mundo toda a corrupção de Lula e Dilma.,Aos Fatos,https://www.aosfatos.org/noticias/eua-nao-pediram-prisao-de-lula-e-dilma-ao-investigar-corrupcao-da-odebrecht/,falso,2018-11-08 08:00:00,,"['Luiz Inácio Lula da Silva', 'Corrupção', 'Dilma Rousseff', 'Estados Unidos', 'Mundo', 'Justiça']"
Lula foi absolvido na ONU,Aos Fatos,https://www.aosfatos.org/noticias/o-que-e-falso-e-o-que-e-fato-em-declaracoes-de-lula-sobre-absolvicoes-na-onu-e-na-justica/,falso,2022-09-02 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRKsFzD9_KatVFQKwnW3cZag1luT0kMHtbY9703mnOt_xvI3t80,"['Luiz Inácio Lula da Silva', 'Absolvição', 'Organização das Nações Unidas']"
Lula foi absolvido de todos os processos,Aos Fatos,https://www.aosfatos.org/noticias/o-que-e-falso-e-o-que-e-fato-em-declaracoes-de-lula-sobre-absolvicoes-na-onu-e-na-justica/,não_é_bem_assim,2022-09-02 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRKsFzD9_KatVFQKwnW3cZag1luT0kMHtbY9703mnOt_xvI3t80,"['Luiz Inácio Lula da Silva', 'Absolvição', 'Processo judicial']"
