Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Governo Lula acaba de anunciar que irá suspender todos contratos com a Starlink,Aos Fatos,https://www.aosfatos.org/noticias/governo-nao-anunciou-suspensao-de-contratos-com-a-starlink-empresa-de-elon-musk/,falso,2024-04-09 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSLtyPwI5r50OVC738mywFITb6a3LheWeDnOoyC6TBdJb0nQrrC,"['Starlink', 'Luiz Inácio Lula da Silva', 'Governo', 'Governo Lula', 'Contrato']"
Governo Lula vendeu precatórios para bancos,Estadão,https://www.estadao.com.br/estadao-verifica/nao-o-governo-nao-vende-precatorios-para-bancos-e-nem-teria-como/,Enganoso,2024-03-07 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT6bUmZBSX-QxjwV5JJK-F0cC1RUNaNOdvag3QXUu52I6fherQf,"['Precatório', 'Governo', 'Banco', 'Luiz Inácio Lula da Silva', 'Governo Lula']"
Lula bloqueia WhatsApp,Estadão,https://www.estadao.com.br/estadao-verifica/fim-de-planos-com-whatsapp-ilimitado-nao-tem-relacao-com-governo-lula/,Falso,2024-03-22 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTms_iJapOpXmZPA5hkpRsJx0028pfWhMKLmS8A2MEvBewo6a1j,"['Luiz Inácio Lula da Silva', 'WhatsApp']"
Lula propôs projeto denominado ‘Bolsa Sopão’,Aos Fatos,https://www.aosfatos.org/noticias/bolsa-sopao-senador-nao-governo-lula/,falso,2024-02-02 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTfiYJJK3lrN5JDOA0a05dK4cwOk6leKIkRM6iufA8HyqKEO86I,"['Luiz Inácio Lula da Silva', 'Projeto']"
Jornalista da Globo parou de ler notícia quando viu que era contra Lula,Aos Fatos,https://www.aosfatos.org/noticias/bom-dia-rio-grande-noticias-lula/,não_é_bem_assim,2024-02-01 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSk8bYlMnNJHk9CASavKD7cdBHYb2OL2SA2jdmTuMVclMLfyqO3,"['Luiz Inácio Lula da Silva', 'Notícia', 'Jornalista']"
Lula não reajustou o piso do magistério público desde 2022 e irá atualizar valores quando a economia melhorar,Aos Fatos,https://www.aosfatos.org/noticias/comparacao-falsa-lula-piso-magisterio-publico/,falso,2024-01-23 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQJer1X4o2JOVrc3nKvFeR9PzfwuxWhQKLFUQt5xdW6OFIDTGC3,"['Luiz Inácio Lula da Silva', 'Economia', '2022']"
Governo Lula criou bolsa de R$ 1 mil para usuários de drogas,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/01/23/e-falso-que-governo-lula-lancou-bolsa-de-r-1-mil-para-usuarios-de-drogas.htm,Falso,2024-01-23 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaHPDPXsZ3fMU46Uy-mpa-bRWz_YgorRlHjhIP7hIz5huubpzN,"['Luiz Inácio Lula da Silva', 'Droga', 'Governo Lula']"
Operação policial durante o governo Lula no Natal de 2023,AFP Checamos,https://checamos.afp.com/doc.afp.com.34962NL,Falso,2023-12-29 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSKo0Op-Ok-qI7OJrHxzImg2MjuY55IFtcqI9KnvTqXeoPzm3Fv,"['Polícia', '2023', 'Governo Lula', 'Luiz Inácio Lula da Silva', 'Natal']"
Antena parabólica digital está sendo distribuída pelo governo.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/01/22/governo-lula-nao-esta-fornecendo-antenas-digital-a-familias-mas-ong.htm,Falso,2024-01-22 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOczPv19rFnpsXA8iB4S34yVDw-s1N1B4ssrPDetGl2SwhJQNZ,"['Antena', 'Governo', 'Antena parabólica']"
Retrospectiva do governo Lula em 2023; um verdadeiro desgoverno,Estadão,https://www.estadao.com.br/estadao-verifica/postagem-enganosa-usa-boatos-antigos-para-fazer-retrospectiva-de-lula-em-2023/,Enganoso,2024-01-18 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS8k-C1aTBbb0OetyEV7EtwatRzdLr4xXNf0879CkeN2Ui06uW0,"['Luiz Inácio Lula da Silva', 'Governo', '2023']"
