Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Mesários podem ver em quem o eleitor está votando,Estadão,https://www.estadao.com.br/estadao-verifica/mesario-pode-ver-voto-eleitor-falso/,Falso,2023-11-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS6V23bY2g5mDMHJb82AklWtwEydZ3-98O9rEZJtLbhbEtyjHBD,"['Eleitor', 'Mesário']"
"Gilmar Mendes fala sobre falhas nas urnas eletrônicas, incluindo mesário pianista",Estadão,https://www.estadao.com.br/estadao-verifica/gilmar-mendes-mesario-pianista-urna-eletronica/,Enganoso,2023-07-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQKqQmn1VJZExafSSPX5KRjq_yvpcyFZtJInxtfJ7N7kYRapQbX,"['Gilmar Mendes', 'Mesário', 'Urna eletrônica']"
Urna registrou um voto para Lula e um voto para Bolsonaro ao mesmo tempo,Aos Fatos,https://www.aosfatos.org/noticias/painel-de-mesario-mostra-numero-de-eleitores-com-biometria-nao-votos-para-lula-e-bolsonaro/,falso,2022-10-31 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRoKVec0CZk8Krsn0YXe2rZVnyoEO2T9Z7NPEXkNz8ElDOyhdsO,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Votação', 'Urna eleitoral']"
"O eleitor foi votar na urna e foi votado para duas pessoas, dois presidentes",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/31/terminal-do-mesario-nao-mostra-numero-de-votos-para-cada-candidato.htm,Falso,2022-10-31 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRacBIJctTheHNOaG9iFYLqG79tMg9weqGMwujIhW-m4kpXqZCl,"['Votação', 'Eleitor', 'Urna eleitoral', 'Presidente']"
Mesário pode anular votos de eleitores com camisetas amarelas,Aos Fatos,https://www.aosfatos.org/noticias/mesario-nao-pode-anular-voto-de-quem-usa-camiseta-amarela/,falso,2022-08-05 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ0sA9G17V-SjyOvzwgaEsza7rKfOh3DrQuaEqh24FjaXcqiRVk,"['Mesário', 'Votação', 'Eleição', 'Camiseta', 'Amarelo']"
Mesários podem interferir na contagem dos votos,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-votacao-pode-ser-contestada-se-eleitor-deixar-de-assinar-livro-ou-pegar-comprovante/,falso,2022-09-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT462Mb637pWXswITo6CJnMhPF8DEf6AiVYXSj4-SfCNIoOW0Dh,"['Votação', 'Mesário']"
Gilmar Mendes reconhece que o sistema de urnas eletrônicas tem falhas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-com-falas-de-gilmar-mendes-foi-editado-para-desacreditar-sistema-eleitoral/,Enganoso: Os trechos selecionados não mostram que Mendes está citando situações que foram solucionadas com o avanço da biometria nas eleições.,2024-03-15 07:00:00,,"['Gilmar Mendes', 'Urna eletrônica', 'Sistema']"
Conseguiram identificar os nomes e votos de 100% dos eleitores,Aos Fatos,https://www.aosfatos.org/noticias/log-urna-nao-identifica-nome-voto/,falso,2022-11-17 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC4FSaTebF6xRfCM_yzbaymIUaLTXfF6E9T3yeLustO1k4J2Y3,"['Votação', 'Eleição']"
Gilmar Mendes diz que o sistema eletrônico de votação tem falhas e que mesários podem votar pelos eleitores,Aos Fatos,https://www.aosfatos.org/noticias/video-gilmar-mendes-mesario-pianista/,não_é_bem_assim,2023-07-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS7DZFnp9HCQbaeNpUu2nkAhE9gLBL5d7eFEPS8oMHC76X39dHN,"['Gilmar Mendes', 'Mesário', 'Votação', 'Eleição', 'Eletrônica', 'Sistema']"
Um mesmo mesário ativou 5 mil urnas em 4 dias em Campinas e no Guarujá,Aos Fatos,https://www.aosfatos.org/noticias/falso-mesario-ativou-5000-urnas/,falso,2022-12-12 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9LifySovyKD_VF6mSiFRsEECvSgSwCJF1s1eiKV2hx14hh0uM,"['Mesário', 'Urna eleitoral', 'Dia', 'Guarujá', 'Campinas']"
