Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Vaza conversas íntimas de Michelle Bolsonaro e Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/michelle-bolsonaro-affair-vorcaro-ataque-genero/,Falso,2026-05-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2LDid02dkKePqA8RpTa6cAvkSO_MXH6I08KO5tKvKa_SiFe6W,"['Michelle Bolsonaro', 'Daniel Vorcaro']"
Bolsonaro pede divórcio após suposto envolvimento de Michelle Bolsonaro com o banqueiro Daniel Vorcaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/22/falso-divorcio-jair-michelle-bolsonaro-daniel-vorcaro.ghtm,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTxfrYqOoKRflsjLuw4JUSD2z0-pvSaQrIzH0R9UPfMq-0iVYcj,"['Michelle Bolsonaro', 'Jair Bolsonaro', 'Daniel Vorcaro', 'Divórcio']"
Vídeo mostra Bolsonaro e Michelle comemorando prisão domiciliar em 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.A6LU69F,Falso,2026-04-02 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjEfzoc1L4LGAQ8IHmlEuRn-mIPcW4Hs0SoeVFyW55FfCXwLyT,"['Jair Bolsonaro', 'Michelle Bolsonaro', 'Prisão domiciliar', 'Prisão', '2026', 'Vídeo']"
Michelle Bolsonaro anda a cavalo enquanto o marido está preso,AFP Checamos,https://checamos.afp.com/doc.afp.com.992T3ZQ,Enganoso,2026-02-26 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQJPyST6J5o9hNLzx9VrZfrby9kEiBUhMVi7UcHOWWn9IsxcD8Y,"['Michelle Bolsonaro', 'Prisão', 'Cavalo']"
"Lula usou R$ 12,4 bilhões no cartão corporativo e Bolsonaro R$ 27,6 milhões",AFP Checamos,https://checamos.afp.com/doc.afp.com.992Y7KE,Falso,2026-02-26 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQtX5AjB155O9S5vUjQq34TsuRYMewCjj6itYkTggS2O1yCT2O5,"['Luiz Inácio Lula da Silva', 'Cartão de visita', 'Jair Bolsonaro', 'Um bilhão', 'Michelle Bolsonaro', '2027']"
Vídeo mostra Jair Bolsonaro internado atualmente na UTI de um hospital,Estadão,https://www.estadao.com.br/estadao-verifica/video-mostra-bolsonaro-uti-michelle-2023/,Enganoso,2026-03-16 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTWBLqU028KV6bQC0blVIQpIwd2soU7uJ-PZoLIIYpoAzYK1eVI,"['Jair Bolsonaro', 'Hospitalização', 'Hospital', 'Vídeo', 'Unidade de terapia intensiva']"
Bolsonaro apanhou na prisão. Michelle está desesperada! Conselho de Medicina solta bomba. Moraes mentiu!,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/19/falso-jair-bolsonaro-agredido-prisao.htm,Falso,2026-01-19 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVMPMVfRDzzTKmuoiD9ndaUNLKenO4pZol1kOisj7_A62fYdab,"['Jair Bolsonaro', 'Prisão', 'Michelle Bolsonaro', 'Alexandre de Moraes', 'Medicina']"
"É comovente ver a Michelle 'triste' com Bolsonaro na cadeia, só que não!",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/12/05/falso-michelle-bolsonaro-feliz-prisao-jair.htm,Falso,2025-12-05 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQcnXWwQCEeSZ9stapN0AFibAZ9rIHc-kHOKm6xG3l_4Wbde79U,"['Michelle Bolsonaro', 'Jair Bolsonaro', 'Prisão']"
"""Enquanto Bolsonaro ia em cana… Michelle estava em Fortaleza. Sorridente com o maquiador. Ela segue firme — e maquiada.""",Observador,https://observador.pt/factchecks/fact-check-video-mostra-mulher-de-jair-bolsonaro-a-celebrar-apos-a-detencao-do-marido/,Enganador,2025-11-27 08:00:00,,"['Jair Bolsonaro', 'Michelle Bolsonaro', 'Inteligência artificial', 'Fortaleza']"
Michelle Bolsonaro mandando o recado: anistia já aos presos do 08/01 e ao Presidente Jair Bolsonaro!,Observador,https://observador.pt/factchecks/fact-check-michelle-bolsonaro-foi-fotografada-com-cartaz-a-pedir-a-libertacao-e-amnistia-ao-marido/,Errado,2025-11-27 08:00:00,,"['Michelle Bolsonaro', 'Jair Bolsonaro', 'Anistia', 'Presidente']"
Michelle comemorando a burrice do marido com seu maquiador,AFP Checamos,https://checamos.afp.com/doc.afp.com.866P8NT,Falso,2025-11-25 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT0wmWyeHff-0FILLPzlHqH6QuLoaMozLls0DQyhfrtZgXuUQ53,"['Michelle Bolsonaro', 'Maquiador']"
"Michelle Bolsonaro segura cartaz com a frase: ""Libertem o noso presidente Bolsonaro. Anistia já""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/20/falso-imagem-michelle-cartaz-libertacao-bolsonaro.htm,Falso,2025-11-20 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSWVMLvwl7jjYOvOjzjYD80Lashvzx72JH4W6yo8VgSLvbzDsUE,"['Michelle Bolsonaro', 'Jair Bolsonaro', 'Presidente', 'Cartaz', 'Anistia', 'Frase']"
"Se eles fizessem 10% de tudo que eles fazem pra tentar incriminá-lo, pra tentar descobrir quem foi que atentou contra a vida dele [Bolsonaro], já estava tudo esclarecido",Aos Fatos,https://www.aosfatos.org/noticias/7-de-setembro-liderancas-bolsonaristas-desinformam-processo-stf-anistia-e-adelio/,falso,2025-09-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRkyahSblTmpkbU1d--Uu5syeG36rAKLbAQSPbrZBpzSVP4Ra3G,['Jair Bolsonaro']
Polícia Federal achou recibo de aluguel de jatinho em nome de Nikolas Ferreira (PL-MG) e Michelle Bolsonaro em empresa que desviou R$ 32 milhões do INSS.,Aos Fatos,https://www.aosfatos.org/noticias/nao-ha-indicios-de-que-nikolas-e-michelle-alugaram-jatinho-com-dinheiro-da-fraude-do-inss/,falso,2025-06-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSKIBB9KbgQqE3BcPvrIbUELbE_GUql7GhH61YxL6ZyanBh8VGs,"['Nikolas Ferreira', 'Instituto Nacional do Seguro Social', 'Michelle Bolsonaro', 'INSS', 'Departamento de Polícia Federal', 'Partido Liberal', 'Polícia Federal']"
Empresa investigada por roubar R$ 32 milhões dos aposentados do INSS pagava cartão de crédito de Michelle Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.47M97ZP,Falso,2025-05-21 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRtCWCVDashv8MT_9JYFXOFmxmI7BmtnCf6XB73S14rL-91ER44,"['Michelle Bolsonaro', 'Instituto Nacional do Seguro Social', 'INSS', 'Cartão de crédito', 'Crédito', 'Negócios', 'Aposentadoria']"
