Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
PF descobre que Moraes recebeu R$ 30 milhões por mês para prender Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-que-moraes-recebeu-propina-para-prender-bolsonaro/,falso,2026-03-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYxceSsWQ1xJGNSPEh1_gMoJckhjKEBugUg-BHRZjXRmEWzNIk,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Mês']"
"PF pediu prisão de Moraes, que fraudou documentos contra Jair Bolsonaro",Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-pf-pediu-prisao-de-moraes-por-fraude-documental-contra-bolsonaro/,falso,2026-04-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ7esHfltavBnUzdxY8FL3IqGYfURDVRXkGFcdWTBlg5nQfdjDl,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Prisão', 'Documento']"
Juíza desafia Moraes e ordena soltura de Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/juiza-mandou-soltar-bolsonaro/,falso,2026-04-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA_0sF4z0-_vG7yqIsC-7XKq-iFGP9IsD4EpZCIZEitzUWJhWe,"['Jair Bolsonaro', 'Juiz', 'Alexandre de Moraes']"
Juíza corajosa desafia Moraes e manda libertar Jair Bolsonaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/27/falso-juiza-mandou-libertar-jair-bolsonaro.ghtm,Falso,2026-04-27 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-1s8s6yQELqFg9cef7qeRjaFrZzu-BRxobaI8a6U-YBWcHoO9,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Juiz']"
A Polícia Federal pede a prisão do Alexandre de Moraes por fraudar Documentos falsos contra o Jair messias Bolsonaro.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/10/falso-pf-pedido-prisao-alexandre-de-moraes.ghtm,Falso,2026-04-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQXrwuSxYdoy9yhUzVpBCD0ZWHawQ09LXTFTh_lI2rtd8Af265z,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Fraude', 'Prisão', 'Polícia', 'Documento']"
Polícia Federal descobre que Moraes prendeu Bolsonaro por dinheiro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/03/09/e-falso-que-pf-descobriu-que-moraes-prendeu-bolsonaro-por-dinheiro.htm,Falso,2026-03-09 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwqyQdIaYQSRCUCMIs6f7N5rfw9HHsSO8mbBrRAb2oH2lEayNR,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Departamento de Polícia Federal', 'Polícia Federal', 'Polícia']"
Justiça americana decretou prisão de Moraes,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pf-tenha-pedido-prisao-de-moraes-por-fraudar-documentos-contra-bolsonaro/,Falso,2026-04-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-5uIkmNOcjgMlsY_dJPegp6RRQZKJfQW8-K0AlXRiH68ZNbzM,"['Alexandre de Moraes', 'Prisão', 'Justiça']"
PF descobriu que Alexandre de Moraes recebeu dinheiro para condenar Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-pf-tenha-afirmado-que-moraes-prendeu-bolsonaro-por-dinheiro/,Falso,2026-03-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc0Q2GyMcn2HRIH_zb4fFTdmI3PYBEOcSOBqGwUkPQvYY5ypLY,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Dinheiro', 'Condenação']"
"Superior Tribunal Militar disse que Bolsonaro não pode cumprir pena no presídio da Papuda, em Brasília",Aos Fatos,https://www.aosfatos.org/noticias/superior-tribunal-militar-nao-impediu-bolsonaro-de-cumprir-pena-na-papuda/,falso,2025-11-14 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTBcgxm1ie6G9RgfQKWaAVXVk75utZXgC1YprD-0XOBYJY2mW8M,"['Jair Bolsonaro', 'Superior Tribunal Militar', 'Complexo Penitenciário da Papuda', 'Sanção penal', 'Penitenciária', 'Brasília']"
Alexandre de Moraes retirou toda a segurança pessoal de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/moraes-nao-retirou-seguranca-pessoal-bolsonaro/,falso,2025-10-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSjrOH1vpM0q5JD010MDibk8iOONN7NIvQc8xhHRhXnaBs5YESZ,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Segurança']"
Alexandre de Moraes admitiu recentemente possibilidade de absolvição de Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/declaracao-de-moraes-sobre-possivel-absolvicao-de-bolsonaro-e-antiga/,não_é_bem_assim,2025-09-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTItENT5C-ob7xBqdD9yLNhqRcsBvSaYLS3_Fh4zWvOSGrqj1yu,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Absolvição']"
STF não tem tem competência para decidir medidas da execução penal de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/stf-execucao-penal-jair-bolsonaro/,Falso,2026-01-15 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfoKJTm38FEiTI6Ily1O1NLJmOs6j59KCDYRtynLxYOmNi-H3O,"['Jair Bolsonaro', 'Supremo Tribunal Federal', 'Direito penal']"
Alexandre de Moraes anunciou que Bolsonaro irá fugir para os EUA,Aos Fatos,https://www.aosfatos.org/noticias/moraes-nao-anunciou-que-bolsonaro-esta-planejando-fugir-do-brasil/,falso,2025-07-16 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbWK1bRZza2loC3kwUyZzP2l89UxoTeFIHvcgCtBmdxP0R5V8o,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Irã', 'Estados Unidos']"
Moraes faz novo pronunciamento! Nosso capitão vai voltar,AFP Checamos,https://checamos.afp.com/doc.afp.com.68GG3T3,Falso,2025-07-31 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTWEDECsiDqjPyyHCkk0XJ534OAUC2XVOrUTLVZLOL719VjIMQz,"['Alexandre de Moraes', 'Pronunciamento']"
Alexandre de Moraes pediu a prisão de Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-moraes-pediu-a-prisao-de-bolsonaro/,falso,2025-04-03 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR4tfIU11YlpemM1eKEi8uLJWxmEz6cp0gIwQCtD4C8hMfuEMzO,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Prisão', 'Ação Penal 2668']"
Ministro Alexandre de Moraes libera passaporte de Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/alexandre-de-moraes-nao-liberou-passaporte-de-jair-bolsonaro/,falso,2025-03-20 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQtlxoC85dRCqvt9D7bagoA4BtjaJ-de_06XR_vLo2A2snETAeh,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Passaporte', 'Ministro']"
"""Vamos sentar o dedo. O vídeo retirado é esse aqui. Esse foi o vídeo que o Alexandre de Moraes mandou apagar da página do Bolsonaro. Vamos todos postar nas redes sociais. Quero ver ele mandar apagar de milhares de pessoas.""",Observador,https://observador.pt/factchecks/fact-check-juiz-do-supremo-tribunal-federal-exigiu-a-bolsonaro-que-apagasse-registos-online-de-discurso-sobre-esfaqueamento-de-que-foi-alvo/,Errado,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQjXckQU7kUcTblD6_Qzlc5gZfFzxwYGdiHOitbv6IBpV4eSV0,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Vídeo', 'Rede social', 'Rede de computadores']"
Daniel Vorcaro entregou em delação quem foi responsável pelo atentado contra Bolsonaro em 2018,Aos Fatos,https://www.aosfatos.org/noticias/vorcaro-delatou-mandante-atentado-bolsonaro/,falso,2026-04-28 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSbqMdMX7Kgb1_2HcyGlYFNQ8OuUifBFw76CZ4rYSWicI_x6rz2,"['Daniel Vorcaro', 'Jair Bolsonaro', 'Atentado contra Jair Bolsonaro', 'Delação premiada', '2018']"
