Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Polícia descobriu 'fazenda de visualizações' com centenas de celulares para Nikolas Ferreira e Flávio Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/fazenda-de-visualizacoes-nikolas-ferreira-flavio-bolsonaro-falso-inteligencia-artificial/,Falso,2026-04-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT5PZYLCF-MvikVP1t79FmkvslXtk1rcM20bQTzzqK9p4eo0ew7,"['Nikolas Ferreira', 'Flávio Bolsonaro', 'Polícia', 'Telefone celular']"
Polícia descobriu galpão com 100 mil celulares em fazenda de engajamento de Nikolas Ferreira e Flávio Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/fazenda-likes-nikolas-ferreira-flavio-bolsonaro/,falso,2026-04-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYbctnelFgM1ElU_6yB0Ph-zrmH7aQv7SRY-dK_oY_EHXPTE0l,"['Nikolas Ferreira', 'Flávio Bolsonaro', 'Polícia', 'Telefone celular']"
Nikolas associa pretos e pardos a bandidos,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/04/nikolas-sobre-associacao-entre-negros-e-criminosos-estereotipos-existem.ghtm,Verdadeiro,2026-04-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRwhgwYo4L0bI4_IylL3-v7cwK-cXSeqkIWJ8ZH6LXz2E4ZDsOI,"['Nikolas Ferreira', 'Negros', 'Pardos']"
A polícia achou os eleitores do Flavio Rachadinha e da Nikole!!!,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/24/falso-video-fazenda-likes-flavio-bolsonaro-nikolas-ferreira-ia.ghtm,Falso,2026-04-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-SA5XqTGVLlCep7zm5VeunKaMKoILDdiAWP3dCgUzLZkGltvK,"['Flávio Bolsonaro', 'Eleição', 'Desvio de salário de assessor', 'Polícia']"
"Nikolas Ferreira compartilha trecho do PL nº 896/2023 que pune ""interrupção da palavra""",Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-trecho-projeto-de-lei-criminaliza-misoginia-enganoso/,Enganoso,2026-03-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyQyR-SkSczFxyHgcFDhmtyZAPKWbdnqlULQ8irJp7LYOLGEaL,"['Nikolas Ferreira', 'Partido Liberal', 'Palavra', '2023']"
Estadão publicou imagem de Nikolas Ferreira ao lado de Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/selfie-nikolas-ferreira-daniel-vorcaro-estadao-falso/,Falso,2026-03-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfSNSVGemhrKCmPtf96FtbSDfvHLlWJh0VXPnO_AvvU7TpOXCV,"['Nikolas Ferreira', 'Daniel Vorcaro', 'O Estado de S. Paulo', 'Imagem']"
O deputado Nikolas recebe auxílio-paletó de R$44.000,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/02/23/nikolas-ferreira-nao-recebe-nao-auxilio-paleto-beneficio-nao-existe.htm?t=%7Bseek_to_second_number%7D,Falso,2026-02-23 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSVXSa7caD53M1H7GywrBAN_9HQx0Ohc6qm7BkoYuqWJzMR8oJr,"['Nikolas Ferreira', 'Privilégios políticos no Brasil', 'Deputado']"
"que Nikolas Ferreira teve em 2025, 185 presenças, 103 dias de folga, 55 dias de férias e 22 faltas",Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-falta-camara-dos-deputados/,Enganoso,2026-02-11 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSRq8X0Yon8z2PvCO3Fvx3JzYkUpymGfe0W-3jojqfoPi7ygh2-,"['Nikolas Ferreira', 'Dia', '2025', 'Férias laborais']"
O ministro Alexandre de Moraes autorizou a PRISÃO preventiva do deputado Nikolas Ferreira e de manifestantes ANTES mesmo de qualquer ato acontecer!,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/02/01/falso-moraes-determinou-prisao-preventiva-nikolas-ferreira.htm,Falso,2026-02-01 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS67lB1wRNqsTtSg0DbzPKf_qpeuidm8YtrBw66MT4RivFCcUlt,"['Nikolas Ferreira', 'Alexandre de Moraes', 'Prisão preventiva', 'Prisão', 'Deputado', 'Ministro', 'Manifestação']"
Repórter mostrou o vídeo do Nikolas,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/01/29/falso-video-trump-reacao-discurso-nikolas-ferreira-brasilia.htm,Falso,2026-01-29 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDZQo1xE3xWczD-nsPAR1Fjqz6NS46z9_wPqmcKC9iRmLw5Wk2,"['Nikolas Ferreira', 'Vídeo', 'Repórter']"
