Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Eu não pago [pelos cortes], não. [Foi] antes da eleição, isso é aberto para todo mundo. Na eleição e na pré-campanha, zero. Eu não coloquei [dinheiro]. Zero. Eu sei que o que derruba um rico na eleição é abuso de poder econômico. Estão querendo emplacar e eu não fiz, tanto é que não tem prova. Foi uma reportagem que eles pegaram. Não tem nada, o comprovante.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-pablo-marcal-flow-podcast/,falso,2024-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdUoYr0ffpUrj7mICYwcLawqfSWXKeDBCZ-gxHsz2u51x8gvLH,"['Eleição', 'Reportagem', 'Pagamento', 'Dinheiro', 'Abuso de poder', 'Poder', 'Mundo', 'Abuso']"
"Ali era uma relação de trabalho. Os computadores ficavam em alguns ambientes, ele me ligava “parou de funcionar”, eu ia, desligava os cabos, limpava a memória, colocava o computador para funcionar, abria um programa e deixava aberto, ele fazia acesso remoto, e eu ia embora. Eu não ficava o tempo inteiro. Por R$ 350 tomei um processo de 13 anos e tenho que ficar ouvindo que sou ladrão por isso.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-pablo-marcal-flow-podcast/,falso,2024-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdUoYr0ffpUrj7mICYwcLawqfSWXKeDBCZ-gxHsz2u51x8gvLH,"['Computador', 'Inteligência artificial', 'Trabalho', 'Software', 'Tempo', 'Período integral', 'Armazenamento de dados de computador', 'Relação de trabalho']"
"O Bolsonaro foi orientado a dar o Bolsa Família e deixar a pessoa ter uma outra renda. O Lula chegou e já cortou. Se tiver Bolsa Família, não pode ter renda.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-pablo-marcal-flow-podcast/,falso,2024-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdUoYr0ffpUrj7mICYwcLawqfSWXKeDBCZ-gxHsz2u51x8gvLH,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Pessoa', 'Renda', 'Bolsa Família']"
Vídeo de Musk pedindo apoio para a candidatura de Pablo Marçal,Estadão,https://www.estadao.com.br/estadao-verifica/elon-musk-apoio-pablo-marcal-falso/,Falso,2024-08-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQac13SvevevVeUtt2M92luk2TrRKV2lwU2zUUIxov7MJf1zuQV,"['Elon Musk', 'Pablo Marçal', 'Vídeo', 'Candidato']"
"Isso, dependendo de gostar do Bolsonaro ou não, foi o melhor governo do Brasil até hoje. O único que baixou imposto.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-pablo-marcal-flow-podcast/,falso,2024-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdUoYr0ffpUrj7mICYwcLawqfSWXKeDBCZ-gxHsz2u51x8gvLH,"['Jair Bolsonaro', 'Imposto', 'Brasil', 'Governo']"
Mais de 30% da cidade está com problema de saneamento básico.,Aos Fatos,https://www.aosfatos.org/noticias/checamos-pablo-marcal-flow-podcast/,falso,2024-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTdUoYr0ffpUrj7mICYwcLawqfSWXKeDBCZ-gxHsz2u51x8gvLH,['Cidade']
Marçal fez uma apresentação de drones para divulgar sua candidatura à prefeitura de SP,Aos Fatos,https://www.aosfatos.org/noticias/video-drones-pablo-ceu-sem-relacao-marcal/,falso,2024-08-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSWK3o_4wEoiqvw7hV5Vzh794dZj2p2bViIXj7FzwelmY1KHb5x,"['Pablo Marçal', 'Drone', 'Candidato', 'São Paulo']"
Jair Bolsonaro declara apoio a Pablo Marçal,Aos Fatos,https://www.aosfatos.org/noticias/deepfake-bolsonaro-apoio-pablo-marcal/,falso,2024-08-28 07:00:00,,"['Jair Bolsonaro', 'Pablo Marçal']"
Bolsonaro declara apoio à candidatura de Pablo Marçal em live,Aos Fatos,https://www.aosfatos.org/noticias/falso-bolsonaro-live-apoio-pablo-marcal/,falso,2024-08-28 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR85Ys0oHHW0em4wmvTzUoodtQGXyfyHO6Bs2FULsCWDxer3DRl,"['Pablo Marçal', 'Jair Bolsonaro', 'Candidato']"
Marcelo Rezende chama Pablo Marçal de maior picareta do Brasil,Estadão,https://www.estadao.com.br/estadao-verifica/marcelo-rezende-pablo-marcal-maior-picareta-enganoso/,Enganoso,2024-08-28 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTErfESZZIjwPPRGt--Bm4bl2gxv2tCX8phLd--cDmF58UQ1m04,"['Marcelo Rezende', 'Pablo Marçal', 'Brasil']"
"Ele próprio [Pablo Marçal é] condenado por fraude bancária, por golpe contra aposentado.",Aos Fatos,https://www.aosfatos.org/noticias/checamos-roda-viva-guilherme-boulos/,não_é_bem_assim,2024-08-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTUPbjH1qQiQZDDVcUA_4alUlkzntkwOwl1sV_iEHds0IU-fRhY,"['Pablo Marçal', 'Sentença', 'Fraude', 'Fraude bancária', 'Aposentadoria']"
Pesquisa mostra Pablo Marçal com 53% das intenções de voto em SP,Aos Fatos,https://www.aosfatos.org/noticias/post-humoristico-fora-de-contexto-marcal-eleicoes-sp/,falso,2024-08-23 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-i7kICGNAob2m4tf28X2-LyIvialgATvDD8rNmuPC_AIaSoDj,"['Pablo Marçal', 'Votação', 'Pesquisa', 'São Paulo', 'Intenção']"
Pablo Marçal aparece em 1º na pesquisa eleitoral do Instituto Veritá,AFP Checamos,https://checamos.afp.com/doc.afp.com.36EN68R,Falso,2024-08-23 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWwGFxjCfwIcrDpjway0D3nzki9nojfvqIuvKyowl1wKdX4Aor,"['Pablo Marçal', 'Eleição', 'Instituto Veritá', 'Pesquisa']"
"Pablo Marçal lidera a corrida eleitoral de São Paulo com 28,9% das intenções de voto",Estadão,https://www.estadao.com.br/estadao-verifica/marcal-lidera-pesquisa-instituto-verita-falso/,Falso,2024-08-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRYm-keZSaKQ8f-fY7JxjIpcnaav8nwO4lQE_iiYejdL4Cl42Al,"['Pablo Marçal', 'Eleição', 'Votação', 'São Paulo']"
"A gente está falando de uma eleição em que a gente tem candidatos com históricos muito pesados. Gente [Pablo Marçal] que já foi condenado por roubar aposentadoria de idoso, gente que responde por crime de homicídio.",Aos Fatos,https://www.aosfatos.org/noticias/roda-viva-tabata-amaral/,não_é_bem_assim,2024-08-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRmW71M2w77YB4C0Rvzp4gdjavRh6ejnfQWiLuTfKTpG_siPQP9,"['Candidato', 'Eleição', 'Pablo Marçal', 'Crime', 'História', 'Sentença', 'Aposentadoria', 'Idoso', 'Homicídio']"
Pablo Marçal em primeiro lugar na pesquisa de intenção de voto do Instituto Veritá,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-julho-instituto-verita-sp-pablo-marcal/,falso,2024-08-19 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS_aal20u8tLbsGjXl85yLufY3prnQhpXA4YvsnKDSCW0ZG5ET,"['Pablo Marçal', 'Instituto Veritá', 'Pesquisa', 'Votação', 'Intenção']"
"O elevador, sozinho, consegue colocar mais turistas internacionais do que Brasil inteiro",Aos Fatos,https://www.aosfatos.org/noticias/checamos-o-debate-da-band-entre-os-pre-candidatos-a-prefeitura-de-sao-paulo/,falso,2024-08-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS-H_nM85N5FVwsKowRYQPSC0TZ9EaipFPmY4MCPrDR4FoeBNZd,"['Brasil', 'Turismo', 'Elevador']"
Lula teria vendido uma Ferrari de R$ 6 milhões para Pablo Marçal,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/07/18/lula-nao-vendeu-ferrari-de-r-6-milhoes-para-pablo-marcal.htm,Distorcido,2024-07-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ5D2_UVEy6FbKVzknCBH7kGOe9rQjWqoDp64q6V0FmHzoDeQP,"['Pablo Marçal', 'Luiz Inácio Lula da Silva']"
