Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"""PERNAMBUCO SURPREENDE O BRASIL. Nova pesquisa mostra um cenário que muita gente não esperava ver no Nordeste. Flávio Bolsonaro: 50,5% Lula: 38,1% Aldo Rebelo: 5,8%.Se esses números se confirmarem, não é apenas uma pesquisa. É uma mudança de vento político""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/30/enganoso-pesquisa-pernambuco-flavio-bolsonaro-lider-lula.ghtm,Distorcido,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTB1JKst3iT4ftgNngUXTrRGGPRZcd6GtAs31WN8YT0vB00oEax,"['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Pesquisa', 'Brasil', 'Político', 'Aldo Rebelo', 'Região Nordeste do Brasil', 'Pernambuco', 'Número']"
"Pesquisas apontam que Lula deve vencer ainda no primeiro turno com 72,9%",AFP Checamos,https://checamos.afp.com/doc.afp.com.B39V367,Falso,2026-05-19 13:49:01,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSkpXMX0zGmaSL7grLveghOz-T4W_lCaTahknDbFcjSfSGkzlNm,['Luiz Inácio Lula da Silva']
Nova pesquisa mostra Flávio Bolsonaro à frente de Lula em Pernambuco,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7MM963,Falso,2026-04-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSfdUjgOyK8tftUxF9ReSES5Zmhp6BQ-YxxX4dSwWovuCansWjG,"['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Pernambuco', 'Pesquisa']"
Haddad ganhará no primeiro turno em SP segundo a pesquisa AtlasIntel,AFP Checamos,https://checamos.afp.com/doc.afp.com.A83P9ZQ,Enganoso,2026-04-16 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7zd6N0Y8zAZaa4LPN9shvavdsW0jPd1j1e0ktLwwwNS2pKW2B,"['Fernando Haddad', 'AtlasIntel', 'Pesquisa', 'São Paulo']"
Flávio Bolsonaro assume liderança em pesquisa sobre eleições de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.89PM7T3,Falso,2026-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9VJaZL7yrIZ0cpBZ3sZ557suH0W1iHe_8FF_fd86m5s2bZXF-,"['Flávio Bolsonaro', 'Eleição', 'Pesquisa', '2026', 'Liderança']"
"Pesquisa mostra Bolsonaro na liderança com 86,57% das intenções.",Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-que-mostra-bolsonaro-com-8657-e-na-verdade-enquete-de-facebook-sem-rigor-estatistico/,falso,2018-08-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQRk0bkgrWQph5JKElXjL_pSubxHrvQq7d610E2o_PfCy5uSXD5,"['Jair Bolsonaro', 'Pesquisa', 'Liderança']"
"Standup com Sérgio Mallandro no teatro na Gávea, com capacidade para 700 pessoas, ele faz um enquete sobre eleições presidenciais. Perguntou quem votaria no Bolsonaro e foi uma festa de 660 pessoas. Não tem pesquisa melhor que essa.",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/pesquisas-eleitorais-seguem-metodos-cientificos-ao-contrario-de-enquetes-entenda/,"ENGANOSO: Enquetes só mostram a opinião de grupos específicos, e não podem ser usadas para tirar conclusões sobre a população em geral.",2022-03-16 07:00:00,,"['Eleição', 'Pesquisa', 'Presidente', 'Pesquisa de opinião', 'Sérgio Mallandro', 'Jair Bolsonaro', 'Eleições presidenciais', 'Teatro', 'Comédia stand-up']"
Enquete em rede social vale como pesquisa eleitoral,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2018/08/28/sem-valor-cientifico-enquete-no-facebook-nao-vale-como-pesquisa-eleitoral.htm,Falso,2018-08-28 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSw6IVgm1HMqlrloUaYjnClygnsaf0HO6pE6HeLbsIWDqHc-lt6,"['Eleição', 'Pesquisa de opinião', 'Pesquisa', 'Rede social', 'Rede de computadores']"
Ipec deixou de fazer pesquisa boca de urna após errar resultado,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/02/post-falso-boca-de-urna-ipec-ex-ibope-eleicoes-2022.htm,Falso,2022-10-02 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwrI0fcIlhrYCmNesrBeMewEyNjGSo9TB_RJqVni1a44n3aAzg,"['Pesquisa de boca de urna', 'Inteligência em Pesquisa e Consultoria Estratégica', 'Pesquisa', 'Resultado']"
Candidata Mariana Carvalho divulgou pesquisa 'fake',Agência Tatu,https://www.agenciatatu.com.br/noticia/mariana-carvalho-pesquisa-imperatriz/,Predominantemente falso,2024-10-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrfg7dlSIhjn9hdMZ3JZIgmkV8hVl9gd-6KIZYfRQ3TkNBYQJ9,"['Candidato', 'Mariana Carvalho Silva', 'Pesquisa']"
