Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Silas Malafaia ‘detona’ Flávio Bolsonaro e cinebiografia de ex-presidente em vídeo,Aos Fatos,https://www.aosfatos.org/noticias/malafaia-flavio-bolsonaro-dark-horse/,falso,2026-05-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSJJfkIa-1nGs57e_cIsLx3cuyhlNSG8CaP4prow95FdYLqa5rf,"['Flávio Bolsonaro', 'Silas Malafaia', 'Vídeo', 'Presidente', 'Biográfico']"
Presidente Lula foi flagrado com mala de dinheiro de Daniel Vorcaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.B3RX8ZQ,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSRTJwqDtADN7_hmCSiqXHucp0zcCdE04fFn9y5s-b2vfohcA0l,"['Daniel Vorcaro', 'Luiz Inácio Lula da Silva', 'Dinheiro', 'Presidente', 'Mala']"
"Onde andam os espiões da Mossad e da CIA? O Presidente iraniano e vários membros do governo do Irão decidiram dar um passeio de bicicleta, mesmo arriscando um eventual atentado - em período de suspensão das hostilidades",Observador,https://observador.pt/factchecks/fact-check-presidente-iraniano-andou-de-bicicleta-nas-ruas-de-isfahan-apos-cessar-fogo-com-os-eua/,Enganador,,,"['Irã', 'Bicicleta', 'Presidente', 'Hostilidade', 'Mossad', 'Espião']"
"“Pacientes são jogados pra fora do hospital e largados na rua pq [porque] não têm dinheiro pra pagar. Enquanto isso, o presidente gasta bilhões em guerra”",Observador,https://observador.pt/factchecks/fact-check-imagens-mostram-doentes-expulsos-de-hospitais-durante-administracao-trump/,Enganador,2026-05-18 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRQ19CN0G8oWSnRGSvRHYkwLcywkcgCtqPBTMwftS8_r-FmEfdy,"['Hospital', 'Paciente', 'Presidente', 'Guerra', 'Dinheiro']"
"O presidente LULA acaba de virar capa da TIME, uma das maiores revistas do mundo!",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/14/enganoso-lula-capa-revista-time.amp.htm,Distorcido,2026-05-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRvugmorf8k8xLKC0OYjmToyMR_DhndFjhoGzvN27PH0hMMqwCx,"['Luiz Inácio Lula da Silva', 'Presidente', 'Revista', 'capa', 'Equipe', 'Mundo']"
"O presidente dos Estados Unidos, Donald Trump, se pronuncia sobre o hantavírus e diz que os “lunáticos de esquerda estão se esforçando ao máximo para trazer de volta os confinamentos e as imposições da covid com todo o seu alarmismo repentino”.",Estadão,https://www.estadao.com.br/estadao-verifica/trump-pronunciamento-hantavirus-lunaticos-confinamento-enganoso/,Enganoso,2026-05-12 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPYq9Il3cLMdEnv6A9LJxm4P8iPHia-KFy6llHFNWOr6ZnAJB4,"['Donald Trump', 'Hantavírus', 'Presidente dos Estados Unidos', 'Presidente', 'Estados Unidos', 'Confinamento', 'COVID-19', 'Esquerda', 'Pronúncia']"
"A primeira ministra italiana, Giorgia Meloni, se negou a apertar a mão do presidente israelense, Benjamin Netanyahu",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/07/falso-video-giorgia-meloni-ignora-benjamin-netanyahu.amp.htm,Falso,2026-05-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTx4ERQ8FyKILf8uR0l3AVtKXOczCobRg2usLdSPafiUXY3EorT,"['Giorgia Meloni', 'Benjamin Netanyahu', 'Primeiro-ministro', 'Israel', 'Primeiro-Ministro da Itália', 'Ministro', 'Presidente']"
Lula foi o que mais gastou em viagens na história do mundo,Estadão,https://www.estadao.com.br/estadao-verifica/lula-nao-gastou-sozinho-7-bilhoes-viagens/,Enganoso,2026-05-25 14:35:24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmSYC1QucLvrKLAyJHpv7Sm7eVepblGkbokj1b6FTd8rNYAMDr,"['Luiz Inácio Lula da Silva', 'Viagem', 'Mundo']"
"Jornalista da Fox News foi abruptamente interrompida ao sugerir que o atentado contra o presidente dos Estados Unidos, Donald Trump, poderia ter sido armado",Estadão,https://www.estadao.com.br/estadao-verifica/jornalista-fox-news-interrompida-ataque-trump-armado-enganoso/,Enganoso,2026-04-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQS0K8Q9pH4sByWW0nyFBfRy-8HqqCFNcnFLhzjJvZ6ljimXd3S,"['Donald Trump', 'Fox News Channel', 'Jornalista', 'Presidente dos Estados Unidos', 'Presidente', 'Notícia', 'Estados Unidos', 'Ataque']"
"O Presidente francês publicou uma foto da esposa de Trump nos braços de Jeffrey Epstein e comentou sobre ela: ""Se a minha mulher me bate então a tua mulher te traiu com todos os teus amigos..."".",Observador,https://observador.pt/factchecks/fact-check-macron-divulga-imagem-que-mostra-epstein-agarrado-a-melania-trump/,Errado,,,"['Jeffrey Epstein', 'Presidente da França', 'Presidente', 'Fotografia', 'Donald Trump', 'Mulher']"
