Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Jorge Messias chorou após votação no Senado que o rejeitou para o STF,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/04/e-ia-imagem-de-messias-chorando-apos-ser-rejeitado-para-o-stf.htm?t={seek_to_second_number},Falso,2026-05-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQvGyk-pn6wOH94GoygDs-xuzSs_pAr8BVpGrNdNV9nAw6aI-k9,"['Jorge Messias', 'Supremo Tribunal Federal', 'Senado Federal do Brasil', 'Votação']"
Governadores de 12 estados assinaram carta pedindo ao Senado intervenção federal no STF,Estadão,https://www.estadao.com.br/estadao-verifica/governadores-tarcisio-de-freitas-carta-intervencao-stf-falso/,Falso,2026-02-11 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRAKW0PLizcuYfO6-qKbs5kAjCi8Kimcc9okw6PE6sGat65pdGq,"['Governador', 'Supremo Tribunal Federal', 'Intervenção federal', 'Senado Federal do Brasil', 'Carta', 'Unidades federativas do Brasil']"
"Davi Alcolumbre, presidente do Senado, é vaiado em evento no Amapá",AFP Checamos,https://checamos.afp.com/doc.afp.com.96VP2KE,Enganoso,2026-02-10 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRthhFdjRXKFYnnngwX8Agm_v7_MPynFmwt4IdvZIKTNpBPglTO,"['Davi Alcolumbre', 'Vaia', 'Presidente do Senado', 'Presidente', 'Amapá', 'Senado Federal do Brasil']"
Senador Cleitinho Azevedo divulga indenização de até R$ 5 mil para quem teve dados vazados em 2019,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/13/video-de-senador-cleitinho-divulgando-resgate-de-ate-r-5-mil-e-ia.htm,Falso,2026-01-13 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUDnOJKZzmz6OkZTGyDAypuhXfqSIQeDBnodesLTsINDFgurAq,"['Cleitinho', 'Senador', 'Dados', 'Indenização', '2019']"
Carlos Bolsonaro se despede do Rio de Janeiro para ser senador por Santa Catarina com apenas dois projetos aprovados: dia do conservadorismo e dia do heterossexual,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/11/18/e-falso-que-carlos-bolsonaro-teve-so-dois-projetos-aprovados-no-rio.htm,Falso,2025-11-18 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSAGzAogfgVhnkKFsREe9jFiVr4kOclpUYGcmShICrwd4PtNjxm,"['Carlos Bolsonaro', 'Rio de Janeiro', 'Projeto', 'Senado Federal do Brasil', 'Conservadorismo', 'Santa Catarina', 'Heterossexualidade']"
Senador Hamilton Mourão teve terreno de US$ 20 milhões confiscado por Trump nos Estados Unidos,BOL - UOL,https://www.bol.uol.com.br/noticias/2025/11/18/mourao-nao-teve-terreno-de-us-20-milhoes-confiscado-por-trump-nos-eua.htm,Falso,2025-11-18 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQloAEX3boKWHieMihGbXBEwPKSlzXXkD7zc4NYeTC0oSGa1ktg,"['Hamilton Mourão', 'Donald Trump', 'Estados Unidos', 'Confiscação', 'Senado Federal do Brasil']"
Senador Jaques Wagner propõe adiar a eleição de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.78EF2CR,Falso,2025-10-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqkrtFJSvtYaIRscLq_UJcNWBao54aGPR0jCr6gyBRY0wpncX_,"['Jaques Wagner', 'Eleição', '2026', 'Senado Federal do Brasil']"
"Líder do governo no Senado, Jaques Wagner propõe adiar eleições de 2026",Estadão,https://www.estadao.com.br/estadao-verifica/jaques-wagner-propoe-adiar-eleicao-2026-enganoso/,Enganoso,2025-10-07 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7tDg5QayKBlL8FulZuvN5xlEB0AxVDrmYPbevp-hwvt4y9riu,"['Jaques Wagner', 'Eleição', 'Senado Federal do Brasil', '2026', 'Chefe de governo', 'Governo']"
Projeto em discussão no Senado prevê sete anos de reclusão para quem duvidar do sistema eleitoral.,Estadão,https://www.estadao.com.br/estadao-verifica/quem-duvidar-das-urnas-7-anos-de-prisao-enganoso/,Enganoso,2025-06-12 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT08coUN0dMUjm4Gqhmbf-eGskOeDMNAVusOY8P0KIsxs_fucxo,"['Sistema eleitoral do Brasil', 'Eleição', 'Senado Federal do Brasil', 'Projeto', 'Reclusão', 'discussão']"
Investigações americanas apontam que Brasil forneceu urânio para o Irã,AFP Checamos,https://checamos.afp.com/doc.afp.com.62X73G2,Enganoso,2025-06-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ2vEpFJj4W58OfgwWRiZr6G9ey8J-LTHxawku2EXW7m1acV_Xy,"['Irã', 'Urânio', 'Brasil', 'Estados Unidos', 'Pesquisa']"
