Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Fux: Sou de confiança do Moro, minha filha é desembargadora indicada por Bolsonaro, meu filho é advogado do Flavio rachadinha, mas meu voto foi totalmente imparcial, ainda que seja o único contrário",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/09/26/filhos-de-fux-nao-foram-indicados-ou-advogam-para-familia-bolsonaro.htm,Distorcido,2025-09-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVqmuxBu7hJA-c2BKbBkEZUD1BRQqN8i5sSct3GRNgGnd8BiS7,"['Luiz Fux', 'Jair Bolsonaro', 'Flávio Bolsonaro', 'Sergio Moro', 'Advogado', 'Desvio de salário de assessor', 'Filho', 'Desembargador', 'Votação', 'Imparcialidade']"
Lula pediu ao TSE que retirasse das redes o vídeo em que Moro defende a Lava Jato,Aos Fatos,https://www.aosfatos.org/noticias/lula-nao-pediu-tse-derrubasse-video-moro-defendendo-lava-jato/,falso,2024-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTMf8nWCs7LFQl1JmmF0yBkyQkKXchlJKiAJlggJsw83t6zqoG1,"['Luiz Inácio Lula da Silva', 'Sergio Moro', 'Tribunal Superior Eleitoral', 'Operação Lava Jato', 'Vídeo', 'Rede de computadores']"
Sergio Moro é investigado por enriquecimento ilícito.,Estadão,https://www.estadao.com.br/estadao-verifica/sergio-moro-enriquecimento-ilicito-criptomoedas/,Falso,2024-05-03 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQgF2hjppyMoBjffIXS0rRAyzNEGFCki7_l39JYshKpG2tA_tPZ,"['Sergio Moro', 'Enriquecimento ilícito']"
Magnoli foi demitido da GloboNews após criticar possível cassação de Moro,AFP Checamos,https://checamos.afp.com/doc.afp.com.34PF78T,Falso,2024-04-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrSVzKNmVl5LRsoBb5moMamMlNhwzclBkMimrOVqPCKFwL_PSe,"['Demétrio Magnoli', 'Sergio Moro', 'GloboNews', 'Cassação de direitos políticos', 'Demissão']"
"Publicações acompanhadas por um vídeo da participação de Demétrio Magnoli no programa Em Pauta, da GloboNews, afirmam que o jornalista foi demitido após fazer comentários criticando a possível cassação do mandato do senador Sergio Moro (União Brasil) pelo Tribunal Regional Eleitoral do Paraná (TRE-PR) por abuso de poder econômico na pré-campanha eleitoral de 2022.",Folha - UOL,https://www1.folha.uol.com.br/poder/2024/04/e-falso-que-demetrio-magnoli-tenha-sido-demitido-da-globonews-apos-criticar-possivel-cassacao-de-moro.shtml,Falso,2024-04-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvX1roSwXlUf2H_4iNQffqcCupFLxshk3jXzsmEUEdvtQ_rk8Z,"['Demétrio Magnoli', 'GloboNews', 'Sergio Moro', 'Jornalista', 'Eleição', 'União Brasil', 'Mandato', 'Brasil']"
Demétrio Magnoli é demitido da GloboNews após criticar a possível cassação do mandato do senador Sergio Moro.,Estadão,https://www.estadao.com.br/estadao-verifica/falso-demetrio-magnoli-demitido-globonews-criticar-cassacao-moro/,Falso,2024-04-10 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS3UxyWq84VR5u6wX2dLnupVvkT8t0bdcvjoJDHbNej_TyvAFP1,"['Demétrio Magnoli', 'GloboNews', 'Sergio Moro', 'Demissão', 'Cassação de direitos políticos', 'Mandato', 'Senador']"
Demétrio Magnoli foi demitido após criticar a possível cassação do mandato do senador Sergio Moro (União Brasil),UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/04/10/demetrio-magnoli-nao-foi-demitido-apos-criticar-possivel-cassacao-de-moro.htm,Falso,2024-04-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpXoYWDFBdZot3c6YeFjYnaqnh6APTJY8JhC0yOBEj6GK0ZIvb,"['Demétrio Magnoli', 'Demissão', 'Cassação de direitos políticos', 'Sergio Moro', 'União Brasil', 'Senador', 'Mandato', 'Brasil']"
PGR pediu a prisão de Sergio Moro em dezembro de 2023,AFP Checamos,https://checamos.afp.com/doc.afp.com.348Z6Q6,Sem contexto,2023-12-26 08:00:00,,"['Sergio Moro', 'Procurador-Geral da República', 'Dezembro', '2023', 'Prisão']"
A casa caiu pro Lula. Sergio Moro quer o impeachment dele,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/09/25/sergio-moro-impeachment-lula.htm,Distorcido,2023-09-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTN7uwjRwNOL6BhLi3inbBJQsoG9YduPoI6qKFC_W0wPAWYcIyS,"['Sergio Moro', 'Impeachment', 'Luiz Inácio Lula da Silva']"
Juíza que atuou ao lado de Moro na Lava-Jato manda recado para Lula (PT),Aos Fatos,https://www.aosfatos.org/noticias/video-vereadora-curitiba-nao-juiza-lava-jato/,falso,2023-06-21 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcShRr2MPfu1M6iypY25iZL2HFsJWIpk4rPjB4MYv5YH6DOiW9Kg,"['Juiz', 'Luiz Inácio Lula da Silva', 'Operação Lava Jato', 'Sergio Moro', 'Partido dos Trabalhadores', 'Mensagem', 'Partido dos Trabalhadores']"
