Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
STF determina demissão e bloqueio das redes sociais do jornalista Augusto Nunes,Estadão,https://www.estadao.com.br/estadao-verifica/stf-nao-determinou-demissao-jornalista-augusto-nunes/,Falso,2023-12-01 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSn_vL8_aNqPuuOXMDGg9qj9bGMJV1cyRD0mGg5qjq2G4iXnQ6v,"['Augusto Nunes', 'Demissão', 'Supremo Tribunal Federal', 'Jornalista', 'Rede social']"
Jornalistas da GloboNews falam que o STF estava mancomunado com Lula,Estadão,https://www.estadao.com.br/estadao-verifica/video-descontextualiza-falas-de-jornalistas-para-sugerir-que-stf-interferiu-na-eleicao-de-lula/,Fora de contexto,2023-11-27 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ4JoAqwxFL1QBX6insyU0MJDTi43194dsfakRsc_IgCFkcdhiv,"['Luiz Inácio Lula da Silva', 'Supremo Tribunal Federal', 'Jornalista', 'GloboNews']"
STF aprovou resolução para implementar banheiros unissex nas escolas,Aos Fatos,https://www.aosfatos.org/noticias/falso-stf-resolucao-banheiros-unissex-escolas/,falso,2023-11-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTqsL5B7WfMyRalTJRvaSG8YhqgO59kMf8P6RupvSnChyWL-w7X,"['Banheiro neutro', 'Unissex', 'Instalações sanitárias', 'Escola', 'Supremo Tribunal Federal']"
"A pedido do MJ, STF torna ilegal operação que apreendeu 45 fuzis de guerra em mansão na Barra da Tijuca",AFP Checamos,https://checamos.afp.com/doc.afp.com.33ZJ6P6,Falso,2023-10-31 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSa27erphEjPA9ODFEHc9moWZPs4-v2Ehf9riXYcUvlGpUJn-bm,"['Supremo Tribunal Federal', 'Fuzil', 'Mansão', 'Barra da Tijuca', 'Guerra']"
STF quer tornar obrigatório o pagamento de R$ 500 mil em indenização para famílias de criminosos que forem mortos em operações policiais,Estadão,https://www.estadao.com.br/estadao-verifica/stf-obriga-estados-indenizacao-familias-criminosos-mortos/,Enganoso,2023-10-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS0DtD9uDIz_rvVe0hxT-JHBHWBzXQA1kaesAR2NfrBmIHY-GnY,"['Indenização', 'Supremo Tribunal Federal', 'Criminoso', 'Morte', 'Polícia', 'Pagamento']"
"STF deve receber essa semana pedido do PT e PSOL para derrubar venda de livros de Bolsonaro no Instagram, diz manchete",AFP Checamos,https://checamos.afp.com/doc.afp.com.33XB87Q,Falso,2023-10-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKmSwE73X6iezPgxhRzk90AB1HnwZS29z6soLz_bd4b82-kag7,"['Jair Bolsonaro', 'Livro', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Partido Socialismo e Liberdade', 'Supremo Tribunal Federal', 'Manchete', 'Venda de livros', 'Instagram']"
"Vídeo que mostra pessoas consumindo maconha em um soprador de folhas tendo como trilha sonora, a música Daddy Cool, do grupo Boney M. Texto sobre as imagens afirma que a cena teria sido gravada na Universidade Federal do Pará (UFPA) e sugere que as drogas teriam sido liberadas pelo Supremo Tribunal Federal (STF).",Folha - UOL,https://www1.folha.uol.com.br/cotidiano/2023/09/video-de-jovens-fumando-maconha-em-soprador-de-folhas-e-antigo-e-nao-foi-gravado-na-ufpa.shtml,Falso,2023-09-29 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSnkaOL_2Kf9RVSkMbVXJhMsF9h8hi2yE6ikjSR5AzeJ97F5HcI,"['Vídeo', 'Folha', 'Música', 'Imagem', 'Supremo Tribunal Federal', 'Texto', 'Droga', 'Boney M', 'Tribunal']"
STF autorizou a volta do imposto sindical,Estadão,https://www.estadao.com.br/estadao-verifica/entenda-por-que-a-contribuicao-assistencial-nao-significa-a-volta-do-imposto-sindical/,Enganoso,2023-09-21 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSxd4kvnwhH5_dtcXG4BbrGCYVGXRUR3oqwd1mqSkpIycIFK4xM,"['Contribuição sindical', 'Sindicato', 'Supremo Tribunal Federal']"
"Em vídeo publicado no YouTube, o deputado federal Gustavo Gayer (PL-GO) afirma que um suposto “novo entendimento” do STF põe fim à propriedade privada no Brasil. Ele afirma que a Justiça passará a exigir a função social das propriedades rurais e que, “é algo que não há definição”. “É pela compreensão e entendimento deles que vai determinar se a sua propriedade pode ser desapropriada ou não. Preste bastante atenção. Se você mora numa chácara, se você tem uma casa e o STF decidir que a sua casa, a sua chácara não cumpre função social, o governo agora, o Estado brasileiro poderá tomar de você essa propriedade”, afirmou.",Folha - UOL,https://www1.folha.uol.com.br/poder/2023/09/stf-nao-alterou-lei-sobre-reforma-agraria-pondo-fim-a-propriedade-privada.shtml,Enganoso,2023-09-19 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRulE6zzBK3zyitwfqQUkWsosGNQp-SsWXfghEFGQGdroLG5wsJ,"['Supremo Tribunal Federal', 'Desapropriação', 'Deputado', 'Gustavo Gayer', 'Brasil', 'Partido Liberal', 'Deputado Federal do Brasil']"
Novo entendimento do STF põe fim à propriedade privada no Brasil,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2023/09/15/stf-nao-alterou-lei-sobre-reforma-agraria-pondo-fim-a-propriedade-privada.htm,Enganoso,2023-09-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcmquKAa6J0yJ37_4MRAhCEFkMt5lGGaT0taWdOB5mQS069My9,"['Propriedade privada', 'Supremo Tribunal Federal', 'privado', 'Brasil', 'Compreensão']"
