Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Este vídeo mostra presos comemorando a decisão do STF que derrubou a prisão em segunda instância,AFP Checamos,https://checamos.afp.com/o-video-de-comemoracao-de-detentos-e-de-2016-e-nao-uma-reacao-decisao-do-stf-contra-prisao-em-2a,Falso,2019-11-14 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQRzy2nhTy0vZDKqm_gW10QVotYCuHn5XyvYn-SpyN8C9h0k4wz,"['Penitenciária', 'Supremo Tribunal Federal', 'Prisão em segunda instância no Brasil', 'Vídeo']"
"Você [ministro do STF Luiz Edson Fachin] era militante lá do PT, partido comunista. Você era da aliança comunista do Brasil.",Aos Fatos,https://www.aosfatos.org/noticias/em-video-que-motivou-sua-prisao-daniel-silveira-ataca-stf-com-informacoes-falsas/,falso,2021-02-17 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcThQ6JzIX52XNQt2SIMRTx7Cpp6M9gZxx1ocZEBOkawPL34QQk9,"['Supremo Tribunal Federal', 'Edson Fachin', 'Partido dos Trabalhadores', 'Ministro do Supremo Tribunal Federal do Brasil', 'Brasil', 'Partido político', 'Comunismo', 'Partido dos Trabalhadores']"
STF autoriza construção de campos de concentração para não vacinados,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-stf-autorizou-criacao-de-campos-de-concentracao-para-nao-vacinados/,falso,2021-04-12 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTyr9MXL9gjuqaIn8J7MPv0gyS8mcbuH7vbDR7U6nYUMJyu4VCz,"['Supremo Tribunal Federal', 'Campo de concentração']"
Agradeça ao STF que proibiu a polícia de subir o morro e utilizar helicóptero,O GLOBO,https://oglobo.globo.com/fato-ou-fake/e-fake-que-videos-mostrem-acao-de-traficantes-em-comunidade-do-rio-apos-decisao-do-stf-24600439,Fake,2020-08-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRRrRTtV5fVq8SdZEh4Zz5UbSAfm_LD3T24dW2gJcZ6FRJBD5Bj,"['Supremo Tribunal Federal', 'Polícia', 'Helicóptero']"
"A decisão do ministro do STF Edson Fachin em 8 de março ""inocentou"" o ex-presidente Lula",AFP Checamos,https://checamos.afp.com/decisao-de-fachin-sobre-condenacoes-de-lula-nao-inocentou-o-ex-presidente,Enganoso,2021-03-10 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQxLZsFc6huaSqH5L3b0ZegcFo_h_hy39PApA7ZN241DQTyvl4w,"['Luiz Inácio Lula da Silva', 'Edson Fachin', 'Presidente', 'Ministro do Supremo Tribunal Federal do Brasil', 'Supremo Tribunal Federal', 'Março', '8 de março']"
O Ministro da Defesa Paulo Sérgio Nogueira se tornou alvo de notícia-crime no STF por causa do relatório das urnas. O STF desafiou as Forças Armadas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/foi-um-deputado-e-nao-o-stf-que-entrou-com-noticia-crime-contra-ministro-da-defesa/,Enganoso,2022-11-15 08:00:00,,"['Ministro', 'Supremo Tribunal Federal', 'Crime', 'Ministério da Defesa', 'Notícia', 'Paulo Sérgio Nogueira de Oliveira', 'Forças armadas', 'Urna eleitoral', 'Relatório']"
Homem que se sentou em cadeira do STF durante atos golpistas tinha tirado foto com Alexandre de Moraes,Estadão,https://www.estadao.com.br/estadao-verifica/foto-alexandre-moraes-sentou-cadeira-stf/,Falso,2023-03-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRGFJhlpRz3Q26rzCn9WeFoUudsRVagcHqg7HMmcy-Ez27Bstje,"['Alexandre de Moraes', 'Supremo Tribunal Federal', 'Homem', 'Fotografia', 'Cadeira']"
Ministra Damares Alves descobriu caso de pedofilia no STF.,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-damares-descobriu-caso-de-pedofilia-no-stf/,falso,2020-07-22 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQtOjkWYJ-j1xKPeR9ZPypdbNUywdvnTOBIitL3a8dKxfYr5DBP,"['Pedofilia', 'Damares Alves', 'Supremo Tribunal Federal', 'Ministro']"
Carta de traficante a Edson Fachin: áudio do chefe do tráfico enviado para ministro do STF,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/carta-a-ministro-do-stf-foi-inventada-por-comentarista-nao-escrita-por-traficante/,Enganoso,2023-06-06 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR32UMmMtYEXSmFJqpkteH9KLUkAtZlXCc01EtM4CQuOmDBjTWK,"['Ministro do Supremo Tribunal Federal do Brasil', 'Supremo Tribunal Federal', 'Edson Fachin', 'Carta', 'Traficante de drogas']"
Vergonha nacional. Áudio do chefe do tráfico enviado para ministro do STF [Edson Fachin],UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/06/06/traficante-nao-enviou-audio-a-fachin-video-distorce-quadro-da-jovem-pan.htm,Insustentável,2023-06-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRvxEL0i8qD4FAo21mVqs6q4uy1NxxXGmpsyhv90Nc3jOpKstkC,"['Edson Fachin', 'Supremo Tribunal Federal', 'Ministro do Supremo Tribunal Federal do Brasil', 'Vergonha']"
