Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Desde 2023, entraram no Brasil 811 mil chineses, todos com título de eleitor",Aos Fatos,https://www.aosfatos.org/noticias/811-mil-chineses-brasil-eleicoes/,falso,2026-04-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSp0qx2tj2oY5b3YtIdjBMJbBiqQ4s2O58zioiyZDuoZipXyied,"['Brasil', 'Chineses', 'Título de eleitor', '2023', 'Eleitor']"
Suzane von Richthofen incentiva jovens a regularizar o título de eleitor e declarar voto em Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.327Y8PG,Sem registro,2022-04-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRwQjUkGNm1khF2aI5762gjFxLkVndE9XvczOl-cxX_7-V6OX_r,"['Luiz Inácio Lula da Silva', 'Votação', 'Título de eleitor', 'Eleitor']"
Títulos de eleitor encontrados no lixo reciclável no Ceará provam fraude eleitoral no estado.,Aos Fatos,https://www.aosfatos.org/noticias/falso-titulos-eleitor-lixo-provam-fraude/,falso,2022-11-21 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTgLPihgnpn8FKY-4fb0EO4KDF8hOwO1_Ut7_IiQ1wtHhHcv9R8,"['Fraude eleitoral', 'Título de eleitor', 'Eleitor', 'Eleição', 'Fraude', 'Resíduo sólido', 'Reciclagem']"
Títulos de eleitor de quem tem mais de 70 anos estão sendo cancelados,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/03/25/e-falso-que-titulo-de-eleitor-de-maiores-de-70-anos-esteja-sendo-cancelado.htm,Falso,2022-03-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcREKWd2xLTZzhst66rx43KUQKMnvlXuAW1w130pdQs3XMFQDQtc,"['Título de eleitor', 'Eleitor', 'Ano']"
Suzane von Richtonfen incentiva jovens da faculdade a regularizar o título de eleitor e declara voto em Lula,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/04/06/post-falso-g1-suzane-von-richthofen-votos-lula.htm,Falso,2022-04-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuVY-Qi34NYUErJgdz-0-zvUrdae9cn-aPHU6mpt9-gGXziuGQ,"['Luiz Inácio Lula da Silva', 'Votação', 'Suzane von Richthofen', 'Eleitor', 'Título de eleitor']"
População maior de 70 anos está tendo o título de eleitor cancelado em 2022,AFP Checamos,https://checamos.afp.com/doc.afp.com.32793JM,Falso,2022-03-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRbkbb-8AQhM9vY4fR0qJoRZmDg1M417Lecm5J_jOU5nC4BsI3l,"['Título de eleitor', 'Ano', 'Década de 1970', '2022']"
Título eleitoral tem propaganda para Lula,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tse-fez-propaganda-para-lula-em-titulo-de-eleitor/,falso,2022-08-11 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT2OM7POS2AHOs_dG96821gHkTwme1wJMraMvsZULKDg81y7-rr,"['Luiz Inácio Lula da Silva', 'Título de eleitor', 'Eleição', 'Propaganda']"
Meu filho Lucas tirou o título de eleitor para eleger o Bolsonaro,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/suposta-imagem-de-apoio-a-bolsonaro-e-um-meme-com-ator-porno/,"SÁTIRA: A foto original foi mostra os atores pornô Jordi El Niño Polla e Eva Notty. A frase ""Bolsonaro 2022"", escrita no boné do jovem, foi inserida através de edição.",2022-04-01 07:00:00,,"['Jair Bolsonaro', 'Título de eleitor', 'Eleitor', 'Filho']"
Comprovante de vacinação contra a covid-19 está sendo exigido para regularizar título de eleitor em São Pedro da Aldeia (RJ),UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/05/03/rj-deixou-de-exigir-vacina-para-regularizar-titulo-de-eleitor-presencial.htm,Sem contexto,2022-05-03 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTgkicy3Yc1hmLlDViRzgwLUbu0-Yic3-a3PBraJNndDKrHkjv3,"['Título de eleitor', 'Vacina', 'COVID-19', 'Vacina contra COVID-19', 'Rio de Janeiro', 'São Pedro da Aldeia']"
"""Os novos títulos de eleitor têm um código QR Code que já vem com Lula13. Esse código, quando aberto, já declara o voto em Lula/13.""",Observador,https://observador.pt/factchecks/fact-check-titulo-eleitoral-ja-vem-com-qr-code-de-lula-da-silva/,Errado,2022-08-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOv_Mheo-5LPg4qYWWsymKcqVbeLWVUBH6sgQDSOE1unX2YU8W,"['Título de eleitor', 'Luiz Inácio Lula da Silva', 'Votação', 'Código QR', 'Eleitor', 'Codificação']"
