Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Barroso pagou R$ 9 milhões a partidos para derrubar a PEC do Voto Impresso, comprou microchips de Taiwan com milhões de votos para Lula e destruiu cerca de 200 mil urnas que escondiam provas da fraude eleitoral de 2022",Aos Fatos,https://www.aosfatos.org/noticias/video-mentiras-atuacao-barroso-tse-alegar-fraude-em-2022/,falso,2025-08-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_cIH6r_9H_m8HTmsB6XuCIlxl1U9qbR9SmXV9G4YICdFB88hS,"['Luís Roberto Barroso', 'Fraude', 'Fraude eleitoral', 'Votação', 'Eleição', 'Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Comprovante de votação verificado pelo eleitor', 'Partido político']"
TSE vai destruir 195 mil urnas para esconder provas de fraude,Aos Fatos,https://www.aosfatos.org/noticias/tse-destruir-urnas-provas-fraude/,falso,2025-02-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2F_GgSDikyArnN_17ob9sdGUT-EdzmZDi-H97NUKzwkRx5ZhF,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Fraude', 'Prova']"
Giuseppe Dutra Janino fraudou as urnas eletrônicas,Estadão,https://www.estadao.com.br/estadao-verifica/janino-fraude-urnas-barroso-tse-falso/,Falso,2024-05-03 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQQ4MjvwzHNv2HgO9X6OgNCNVOVdMAlPtfGuhCH0xLQdXb3Mbna,"['Giuseppe Janino', 'Urna eletrônica']"
Alexandre de Moraes confessou que houve fraude nas eleições,Aos Fatos,https://www.aosfatos.org/noticias/falso-moraes-houve-fraude-eleicoes-2022/,falso,2023-06-12 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYbvbb_dTnas1o4KXrQ55tQJBJjeNf1lvwNKfJQRdHom2LNq76,"['Alexandre de Moraes', 'Fraude', 'Eleição']"
"Com 97,63% das urnas apuradas, Bolsonaro estava com 55,38% dos votos, enquanto Lula tinha somente 35,80%",Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-55-lula-35-fraude-eleitoral-enganoso/,Enganoso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ9w-VLrlKt84T1PJZwJpo1SrmowB9YrG7EH99cP7UjStN8WNHy,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Votação', 'Urna eleitoral', '1963', '1955']"
Servidor exonerado por Alexandre de Moraes denuncia fraude eleitoral em vídeo,Aos Fatos,https://www.aosfatos.org/noticias/falso-fraude-servidor-exonerado-do-tse/,falso,2022-11-24 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQDOrHWFF7tVrV28hu1bGY7fQGUWE3uOmmJthCffFvVJ5aDfxkj,"['Fraude', 'Exoneração', 'Denúncia', 'Eleição', 'Alexandre de Moraes', 'Vídeo', 'Fraude eleitoral']"
"""Fraude explícita. O TSE [Tribunal Superior Eleitoral do Brasil] cometeu uma ""falha"" e acabou a mostrar a vitória de Bolsonaro com 55% dos votos.""",Observador,https://observador.pt/factchecks/fact-check-video-que-mostra-bolsonaro-com-55-de-votos-prova-que-houve-fraude-nas-eleicoes-presidencais-brasileiras/,Errado,2023-04-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Jair Bolsonaro', 'Eleição', 'Votação', 'Tribunal Superior Eleitoral', 'Fraude', 'Brasil', '1955', 'Tribunal']"
Em 2019 a Globo noticiou que hackers numa convenção em Las Vegas hackearam urnas do modelo brasileiro em poucos minutos,Aos Fatos,https://www.aosfatos.org/noticias/influenciador-portugues-mentira-fraude-eleitoral-brasil-senado/,falso,2024-04-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQlhoBmW39BM588j_b5lF3yyfKsMmGo4OFSZeM76KCNgfVGZzKi,"['Urna eleitoral', 'Brasil', 'Hacker', 'O Globo', '2019']"
"Bolsonaro teve zero votos em urnas de modelos antigos, que não foram auditadas",Aos Fatos,https://www.aosfatos.org/noticias/influenciador-portugues-mentira-fraude-eleitoral-brasil-senado/,falso,2024-04-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQlhoBmW39BM588j_b5lF3yyfKsMmGo4OFSZeM76KCNgfVGZzKi,"['Votação', 'Urna eleitoral', 'Jair Bolsonaro']"
Vídeo mostra fraude eleitoral em Minas Gerais,Aos Fatos,https://www.aosfatos.org/noticias/boletins-de-urna-mostrados-em-video-nao-sao-de-mg-nem-provam-fraude/,falso,2022-10-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSmV-2EDni1OiKxYAX_8D5xWE1A1Z_mnWBpgeIlhxbkNUVEOlUO,"['Fraude', 'Fraude eleitoral', 'Eleição', 'Vídeo', 'Minas Gerais']"
"""URGENTE: A invasão hacker do TSE revela a fraude nas urnas com a chancela da justiça eleitoral. Os votos válidos e os de quem justifica estão em banco de dados diferentes. Eles podem descarregar os votos de quem vai justificar na esquerda""",Observador,https://observador.pt/factchecks/fact-check-hacker-portugues-que-fez-ataque-informatico-a-tribunal-brasileiro-revelou-fraude-nas-eleicoes/,Errado,2020-11-22 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Hacker', 'Fraude nas urnas eletrônicas', 'Eleição', 'Tribunal Superior Eleitoral', 'Votação', 'Urna eleitoral', 'Dados', 'Voto válido']"
TSE pode ser pego por fraude em terceirizações,Estadão,https://www.estadao.com.br/estadao-verifica/video-engana-ao-sugerir-fraude-em-terceirizacao-de-servicos-da-justica-eleitoral/,Enganoso,2023-06-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS20YHUe82in0dCjNsBK1EZ1fE1c7yBykBJTSAT379J8Noqbsvb,"['Tribunal Superior Eleitoral', 'Fraude', 'Terceirização']"
Peritos federais intervêm e provam fraude nas urnas em 2022,Aos Fatos,https://www.aosfatos.org/noticias/falso-peritos-federais-fraude-urnas-2022/,falso,2022-11-03 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTACy95YEbqHsySiRvIPHL9k6cxEV2RjUe1d3MItlnmG36gMChC,"['Fraude nas urnas eletrônicas', 'Urna eleitoral', '2022']"
"""Funcionária do TSE admitiu que sistema eleitoral brasileiro é uma fraude"".",Observador,https://observador.pt/factchecks/fact-check-funcionaria-do-tribunal-superior-eleitoral-do-brasil-relatou-fraude-do-sistema-eleitoral/,Errado,2022-08-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRs1pQQFe8kRHRGHEhbrHHqfYVgU1nYh50BEFlj_GoPHvbEoTPY,"['Sistema eleitoral do Brasil', 'Tribunal Superior Eleitoral', 'Fraude', 'Eleição', 'Funcionário']"
Descarte de 195 mil urnas eletrônicas é queima de arquivo,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/02/28/posts-distorcem-sobre-descarte-de-195-mil-urnas-pelo-tse.htm,Distorcido,2025-02-28 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSfYC-hU5KsYAiDiiO9vtn3_orxmwT6dfaD6Ecf3zgFuFyY0NJ3,"['Urna eleitoral', 'Urna eletrônica']"
"Eu ouvi a declaração do ministro José Múcio, da Defesa, no Roda Viva, há poucos meses, ele falando que o 8 de Janeiro não foi golpe. Também o ex-ministro Aldo Rebelo, a mesma coisa. Também o ex-ministro da Defesa, Nelson Jobim, a mesma coisa — que foi presidente do TSE, inclusive. Outras [pessoas]... José Sarney… todo mundo falando isso, respeitosamente.",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,não_é_bem_assim,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Presidente', 'Tribunal Superior Eleitoral', 'Ministério da Defesa', 'Ministro', 'José Múcio', 'Nelson Jobim', 'Aldo Rebelo', 'José Sarney', 'Ataques de 8 de janeiro em Brasília']"
"Na semana seguinte ao segundo turno de 2018, foi instalado o inquérito 1361 para apurar inconsistências, fragilidade do sistema eleitoral.",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Eleição', 'Inquérito policial', '2018', 'Sistema eleitoral do Brasil', '1361', 'Semana']"
"Quando nós peticionamos o TSE sobre possíveis vulnerabilidades, no dia seguinte não foi acolhido, não se discute nada mais além disso, e nos surpreendeu uma multa de R$ 22 milhões. Essa multa nos abalou e, no nosso entendimento, se a gente viesse a recorrer da multa ou da petição a multa poderia ser agravada e outras coisas poderiam acontecer",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Tribunal Superior Eleitoral', 'Multa', '2022', 'Compreensão', 'Abaixo-assinado']"
"Aquelas 1.500 pessoas, pobres, coitadas, que até foi levantada por um dos que me antecederam agora há pouco aqui. Cem ônibus chegaram na região do setor ambiental urbano, na madrugada de domingo. E o pessoal foi embora logo depois da baderna e sobrou para quem estava acampado aqui. Quem realmente fez foi embora.",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Meio ambiente', 'Ônibus', 'Pobreza']"
"Daí eu convidei os embaixadores para mostrar o inquérito 1361, e com todo respeito, mesmo que seja um outro... Um outro foco, um inquérito, após a minha conversa com os embaixadores, no dia seguinte, ser classificado como confidencial, a gente fica um pouco surpreso com isso",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['1361', 'Inquérito policial', 'Embaixador']"
"O outro lado podia tudo, até acusar de genocida",Aos Fatos,https://www.aosfatos.org/noticias/no-stf-bolsonaro-mente-ao-responder-acusacoes-de-fraude-e-golpismo/,falso,2025-06-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtJfe5Q5m4K0MerercIal7vZboM6cACEou9CeDpdSLHc8K4DW2,"['Oferecimento de denúncia', 'Genocídio']"
